Plot,slope_CO2,slope_N2O,soil_temp_C,mean_moisture,avg_pressure_pa,temp_K,Va_refined,flux_CO2_refined,flux_N2O_refined
101,0.20851894233737014,5.335309709078805e-5,27.9,0.04933333333333333,101968.75,301.04999999999995,0.024546046705485745,2.6161388077527494,0.19947623780375756
102,0.258758782201424,5.087822014051493e-5,31.7,0.050333333333333334,102022.5,304.84999999999997,0.02484278369967409,3.207684654454671,0.18795104386976766
103,0.21540983606558953,7.011709601874015e-5,33.5,0.038,102067.5,306.65,0.024978451514928845,2.655809037862858,0.25761520909868285
104,0.21631395103661488,2.9110286860887017e-4,31.7,0.04133333333333333,102083.75,304.84999999999997,0.02482787809029351,2.683130225700694,1.0760190766211264
105,0.2350210772833696,4.046838407494098e-5,32.3,0.041999999999999996,102097.77777777778,305.45,0.02487332589674386,2.909844481856432,0.14931213074367528
106,0.27516772812962853,6.064277885920887e-5,33.5,0.049666666666666665,102105,306.65,0.02496927770432398,3.3938164052346,0.22288775223315324
201,0.26712412177986783,9.459016393442422e-5,34.7,0.051000000000000004,102040,307.84999999999997,0.025082956683653467,3.279677989343541,0.3460830584146731
202,0.25093091334894346,4.655737704918349e-5,33.9,0.04166666666666667,102083,307.04999999999995,0.02500723626852659,3.0901908057828735,0.17085822794981279
203,0.35096672423498404,2.261717703898407e-4,34.5,0.04533333333333333,102091.25,307.65,0.02505407760214514,4.314041811464147,0.8284629088302046
204,0.21646744566078535,3.6219810789688216e-5,34.2,0.07533333333333334,102095,307.34999999999997,0.02502872716587492,2.663487447063556,0.13280685833152409
205,0.7041459363536879,0.002537962712487915,33.5,0.05333333333333334,102081.25,306.65,0.02497508700177555,8.68265397216575,9.325912094287059
206,0.2899297423887681,7.250585480093912e-5,34.1,0.05333333333333334,102080,307.25,0.02502426038401254,3.5680287516205986,0.2659040283097882
301,0.24623515219509537,6.306380686971139e-5,31.1,0.043666666666666666,101918.88888888889,304.25,0.024819094159843885,3.0553498901739498,0.23318861712204475
302,0.2638884773953796,9.202351221295445e-5,35.9,0.058333333333333334,101976.66666666667,309.04999999999995,0.025196368777171244,3.225368180888188,0.3351767910149374
303,0.3086896205153383,4.592343302674338e-4,35.5,0.052000000000000005,101975,308.65,0.025164168668791367,3.77777654069941,1.6748073150247367
304,0.3336721311475348,1.8412177985950698e-4,34.4,0.04,101966.66666666667,307.54999999999995,0.025076535142203333,4.097785599546811,0.6738305937987038
305,0.28016400193003443,5.560982757778443e-5,34.9,0.05466666666666667,101969,308.04999999999995,0.025116728613598246,3.4351530017012726,0.20318964218799018
306,0.34455737704919087,2.0398126463700006e-4,35.7,0.06066666666666667,101961,308.84999999999997,0.025183932091682112,4.213420840995221,0.7433268672070144
401,0.35220725995314583,2.084309133489357e-4,33,0.05533333333333333,101825,306.15,0.02499711367542352,4.339156005125031,0.7652183158596703
402,0.2599648711943585,1.1803278688525458e-4,35.4,0.063,101878.88888888889,308.54999999999995,0.025179747521567,3.179509456798945,0.4301940312018563
403,0.36177072510231684,2.2679894655913455e-4,33.2,0.06066666666666667,101877.77777777777,306.34999999999997,0.025000485440069803,4.456375775813578,0.8325410981770687
404,0.3944754098360771,9.519906323184568e-5,32.3,0.041666666666666664,101870,305.45,0.02492894178855404,4.8731852224838725,0.35046279605083325
405,0.36468934640923184,1.285181167612156e-4,33.1,0.03966666666666667,101865.00000000001,306.25,0.024995459677023508,4.493231289713302,0.47186342432334694
406,0.371184251640457,2.069744419488483e-4,31.5,0.048666666666666664,101848.75,304.65,0.024868838350986144,4.596538145711777,0.7637906031665149
