Plot,Line,Date,Time,time_in_secs,Carbon dioxide CO2,Nitrous oxide N2O,Ammonia NH3,Methane CH4,Pressure,Cell temperature
101,0,30/04/2025,10:27:17,37637,356.37,0.2534,0.074,1.654,1019.2,27.97
101,0,30/04/2025,10:28:18,37698,426.8,0.2939,0.001,1.892,1019.4,29.05
101,0,30/04/2025,10:29:20,37760,442.99,0.3045,0,1.89,1019.5,29.63
101,0,30/04/2025,10:30:21,37821,456.63,0.3068,0.018,1.871,1019.7,30.12
101,0,30/04/2025,10:31:22,37882,469.59,0.3101,0.023,1.877,1019.8,30.54
101,0,30/04/2025,10:32:24,37944,481.6,0.3139,0.029,1.876,1019.9,30.95
101,0,30/04/2025,10:33:25,38005,494.42,0.3173,0.025,1.876,1020,31.21
101,0,30/04/2025,10:34:27,38067,506.15,0.3231,0.02,1.877,1020,31.68
102,0,30/04/2025,10:38:26,38306,461.92,0.3256,0.082,1.987,1019.9,31.2
102,0,30/04/2025,10:39:27,38367,468.46,0.3361,0.093,2.019,1020.1,32.15
102,0,30/04/2025,10:40:28,38428,487.28,0.3338,0.143,2.008,1020.1,32.68
102,0,30/04/2025,10:41:29,38489,504.26,0.3413,0.099,2.001,1020.2,33.13
102,0,30/04/2025,10:42:30,38550,520.25,0.3458,0.135,2.002,1020.3,33.54
102,0,30/04/2025,10:43:31,38611,536.48,0.348,0.187,2.016,1020.3,33.95
102,0,30/04/2025,10:44:32,38672,550.9,0.3478,0.124,2.021,1020.5,34.3
102,0,30/04/2025,10:45:33,38733,566.54,0.3535,0.146,2.016,1020.4,34.57
103,0,30/04/2025,10:48:17,38897,475.07,0.3477,0.079,2.057,1020.5,35.53
103,0,30/04/2025,10:49:18,38958,460.84,0.349,0.075,2.066,1020.6,35.89
103,0,30/04/2025,10:50:19,39019,474.95,0.3608,0.083,2.058,1020.6,36.17
103,0,30/04/2025,10:51:20,39080,488.6,0.3661,0.078,2.041,1020.7,36.62
103,0,30/04/2025,10:52:21,39141,502.09,0.3674,0.117,2.037,1020.6,36.85
103,0,30/04/2025,10:53:22,39202,514.64,0.3731,0.087,2.043,1020.8,37.21
103,0,30/04/2025,10:54:23,39263,527.6,0.3781,0.146,2.044,1020.9,37.53
103,0,30/04/2025,10:55:24,39324,541.02,0.3824,0.154,2.029,1020.7,37.87
104,0,30/04/2025,10:59:32,39572,467.91,0.3845,0.061,2.054,1020.8,39.06
104,0,30/04/2025,11:00:33,39633,462.2,0.4016,0.015,2.061,1020.7,39.39
104,0,30/04/2025,11:01:34,39694,476.46,0.4193,0.11,2.054,1020.8,39.84
104,0,30/04/2025,11:02:35,39755,492.01,0.4396,0.068,2.053,1020.8,40.2
104,0,30/04/2025,11:03:36,39816,505.5,0.4608,0.063,2.06,1020.9,40.58
104,0,30/04/2025,11:04:37,39877,517.28,0.4732,0.079,2.064,1020.8,41.03
104,0,30/04/2025,11:05:39,39939,530.81,0.4891,0.157,2.061,1020.9,41.49
104,0,30/04/2025,11:06:40,40000,543.54,0.5101,0.085,2.058,1021,41.65
105,0,30/04/2025,11:09:08,40148,465.96,0.4046,0.032,2.103,1020.9,42.37
105,0,30/04/2025,11:10:09,40209,458.86,0.3776,0.033,2.086,1021,42.72
105,0,30/04/2025,11:11:10,40270,475.85,0.381,0.028,2.081,1020.9,43.28
105,0,30/04/2025,11:12:11,40331,491.13,0.3828,0.007,2.084,1021,43.66
105,0,30/04/2025,11:13:12,40392,504.56,0.3866,0.008,2.086,1020.9,44.02
105,0,30/04/2025,11:14:13,40453,518.78,0.3852,0.014,2.097,1021,44.47
105,0,30/04/2025,11:15:14,40514,533.98,0.3916,0.045,2.109,1021.1,44.94
105,0,30/04/2025,11:16:15,40575,547.65,0.3988,0,2.104,1020.9,45.29
105,0,30/04/2025,11:17:16,40636,556.12,0.3896,0.056,2.107,1021.1,45.83
106,0,30/04/2025,11:20:14,40814,481.67,0.3766,0.007,2.129,1021.1,46.43
106,0,30/04/2025,11:21:15,40875,478.22,0.386,0.039,2.127,1021,46.4
106,0,30/04/2025,11:22:16,40936,494.51,0.3852,0.009,2.118,1021.1,46.61
106,0,30/04/2025,11:23:17,40997,511.7,0.3923,0.025,2.122,1020.9,46.86
106,0,30/04/2025,11:24:18,41058,527.86,0.3966,0.007,2.127,1021,47.33
106,0,30/04/2025,11:25:19,41119,545.98,0.3984,0.011,2.134,1021.1,47.76
106,0,30/04/2025,11:26:21,41181,561.88,0.3972,0.038,2.128,1021.1,48.29
106,0,30/04/2025,11:27:22,41242,577.6,0.4106,0.041,2.129,1021.1,48.68
106,0,30/04/2025,11:28:23,41303,594.57,0.4061,0.061,2.121,1021.1,49.06
106,0,30/04/2025,11:29:24,41364,610.27,0.411,0.095,2.135,1021,49.48
201,0,30/04/2025,11:47:45,42465,488.15,0.3781,0.061,2.107,1020,43.99
201,0,30/04/2025,11:48:46,42526,475.79,0.3852,0.062,2.084,1020.1,44.54
201,0,30/04/2025,11:49:47,42587,491.42,0.3835,0.037,2.106,1020.3,45
201,0,30/04/2025,11:50:48,42648,507.11,0.3911,0.075,2.105,1020.4,46.06
201,0,30/04/2025,11:51:49,42709,525.18,0.3964,0.076,2.111,1020.5,46.91
201,0,30/04/2025,11:52:50,42770,539.85,0.4008,0.082,2.114,1020.5,47.61
201,0,30/04/2025,11:53:51,42831,557.18,0.4075,0.112,2.119,1020.7,48.23
201,0,30/04/2025,11:54:52,42892,569.03,0.404,0.093,2.139,1020.7,48.62
202,0,30/04/2025,11:57:44,43064,314.12,0.5025,1.253,1.182,1020.8,49.61
202,0,30/04/2025,11:58:46,43126,477.41,0.4019,0,2.162,1020.7,49.92
202,0,30/04/2025,11:59:47,43187,494.13,0.3979,0,2.158,1020.8,50.06
202,0,30/04/2025,12:00:48,43248,507.91,0.4006,0,2.165,1020.8,50.09
202,0,30/04/2025,12:01:49,43309,523.26,0.4047,0,2.138,1020.8,50.16
202,0,30/04/2025,12:02:50,43370,540.34,0.4061,0,2.161,1020.8,50.29
202,0,30/04/2025,12:03:51,43431,555.02,0.4051,0,2.149,1020.9,50.39
202,0,30/04/2025,12:04:52,43492,568.87,0.4148,0.01,2.139,1020.9,50.56
202,0,30/04/2025,12:05:53,43553,586,0.4113,0,2.149,1021,50.76
202,0,30/04/2025,12:06:54,43614,601.21,0.4162,0.002,2.148,1020.8,50.92
203,0,30/04/2025,12:09:58,43798,492.77,0.4078,0.026,2.148,1021,51.28
203,0,30/04/2025,12:10:59,43859,490.8,0.4278,0.008,2.155,1020.9,51.42
203,0,30/04/2025,12:12:01,43921,512.01,0.4362,0,2.152,1020.9,51.58
203,0,30/04/2025,12:13:02,43982,536.95,0.4574,0,2.137,1020.9,51.83
203,0,30/04/2025,12:14:03,44043,557.5,0.4661,0,2.135,1020.9,52.01
203,0,30/04/2025,12:15:04,44104,577.72,0.4858,0.031,2.115,1020.9,52.24
203,0,30/04/2025,12:16:05,44165,598.82,0.497,0,2.137,1020.9,52.48
203,0,30/04/2025,12:17:06,44226,619.5,0.5068,0.026,2.133,1020.9,52.62
204,0,30/04/2025,12:20:17,44417,495.31,0.4393,0,2.16,1021,52.94
204,0,30/04/2025,12:21:18,44478,476.71,0.4178,0,2.164,1020.9,52.95
204,0,30/04/2025,12:22:20,44540,490.33,0.427,0.014,2.138,1020.9,53
204,0,30/04/2025,12:23:21,44601,506.1,0.4298,0,2.139,1021,53.08
204,0,30/04/2025,12:24:22,44662,521.53,0.4309,0,2.14,1020.9,53.15
204,0,30/04/2025,12:25:23,44723,532.85,0.4314,0,2.133,1021,53.19
204,0,30/04/2025,12:26:24,44784,542.79,0.4276,0.018,2.127,1021,53.21
204,0,30/04/2025,12:27:25,44845,556.27,0.4375,0,2.134,1020.9,53.17
205,0,30/04/2025,12:30:16,45016,516.06,0.6347,0.016,2.147,1020.9,53.06
205,0,30/04/2025,12:31:18,45078,554.26,0.8765,0.028,2.137,1020.9,52.94
205,0,30/04/2025,12:32:19,45139,607.01,1.0665,0.026,2.132,1020.7,52.91
205,0,30/04/2025,12:33:19,45199,661.02,1.2502,0.041,2.146,1020.8,53
