Plot ,Block,Treatment ,CO2,N2O
101,1,1,2.956442063,0.32420638
102,1,6,3.684242257,0.264625358
103,1,5,3.01185302,0.44865416
104,1,4,3.047101434,1.211235931
105,1,2,3.131520059,0.237312081
106,1,3,3.712601656,0.239310256
201,2,6,3.502434217,0.275371565
202,2,1,3.487784396,0.120055286
203,2,3,4.821268189,0.88191372
204,2,5,2.980420335,0.219920257
205,2,4,9.822308497,10.38839921
206,2,2,3.553520774,0.193655613
301,3,6,3.361265126,0.275685415
302,3,5,3.531191469,0.338252984
303,3,2,4.360119693,2.051844831
304,3,4,4.412011039,0.668759516
305,3,1,3.649318013,0.183571924
306,3,3,4.872004698,0.839547456
401,4,1,4.809273411,0.838428059
402,4,4,3.600896604,0.444159835
403,4,3,5.806125537,0.899806563
404,4,2,5.824618723,0.434325884
405,4,5,4.057057847,0.447654939
406,4,6,4.918667546,0.669399171
