Plot,Soil moisture,Temperature
101,0.043,27.9
101,0.049,27.9
101,0.056,27.9
102,0.058,31.7
102,0.037,31.7
102,0.056,31.7
103,0.037,33.5
103,0.038,33.5
103,0.039,33.5
104,0.047,31.7
104,0.028,31.7
104,0.049,31.7
105,0.037,32.3
105,0.045,32.3
105,0.044,32.3
106,0.052,33.5
106,0.021,33.5
106,0.076,33.5
201,0.046,34.7
201,0.05,34.7
201,0.057,34.7
202,0.041,33.9
202,0.063,33.9
202,0.021,33.9
203,0.054,34.5
203,0.044,34.5
203,0.038,34.5
204,0.059,34.2
204,0.067,34.2
204,0.1,34.2
205,0.049,33.5
205,0.056,33.5
205,0.055,33.5
206,0.061,34.1
206,0.067,34.1
206,0.032,34.1
301,0.036,31.1
301,0.06,31.1
301,0.035,31.1
302,0.05,35.9
302,0.071,35.9
302,0.054,35.9
303,0.056,35.5
303,0.058,35.5
303,0.042,35.5
304,0.038,34.4
304,0.046,34.4
304,0.036,34.4
305,0.041,34.9
305,0.077,34.9
305,0.046,34.9
306,0.05,35.7
306,0.048,35.7
306,0.084,35.7
401,0.06,33
401,0.049,33
401,0.057,33
402,0.079,35.4
402,0.066,35.4
402,0.044,35.4
403,0.072,33.2
403,0.05,33.2
403,0.06,33.2
404,0.048,32.3
404,0.047,32.3
404,0.03,32.3
405,0.047,33.1
405,0.027,33.1
405,0.045,33.1
406,0.054,31.5
406,0.06,31.5
406,0.032,31.5
