target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction
MGG_08811T0,8794,1,5658,7.515e-5,5.647e-9,up_in_Guy11M
MGG_14113T0,11605,2.449,4182,3.514e-4,7.923e-8,up_in_Guy11M
MGG_14836T0,370,2.449,3966,5.271e-4,7.923e-8,up_in_Guy11M
MGG_08671T0,2236,4.472,2205,0.001311,3.94e-7,up_in_Guy11M
MGG_08523T0,4055,5.477,1422,0.001753,6.587e-7,up_in_Guy11M
MGG_07412T0,7871,7.937,639.7,0.003128,1.645e-6,up_in_Guy11M
MGG_16132T0,9097,8.485,709.4,0.003218,1.935e-6,up_in_Guy11M
MGG_05533T0,5383,7.937,613.5,0.003649,1.645e-6,up_in_Guy11M
MGG_05483T0,4482,10.95,517.3,0.005279,3.57e-6,up_in_Guy11M
MGG_02756T0,11012,12.65,429.4,0.005567,5.02e-6,up_in_Guy11M
MGG_10499T0,10916,12,529.5,0.005898,4.433e-6,up_in_Guy11M
MGG_03436T0,3233,12.65,449.9,0.006073,5.02e-6,up_in_Guy11M
MGG_00086T0,10029,14.14,486.4,0.006682,6.528e-6,up_in_Guy11M
MGG_01334T0,11937,15.81,429.3,0.008055,8.475e-6,up_in_Guy11M
MGG_16025T0,9837,17.66,325.8,0.00973,1.097e-5,up_in_Guy11M
MGG_16692T0,9137,18.97,208.3,0.01077,1.295e-5,up_in_Guy11M
MGG_07372T0,9911,21.49,294.9,0.01149,1.727e-5,up_in_Guy11M
MGG_05575T0,6494,20.4,292,0.01198,1.53e-5,up_in_Guy11M
MGG_02393T0,5042,21.49,287.5,0.01209,1.727e-5,up_in_Guy11M
MGG_11310T0,6047,21.35,303.3,0.01257,1.701e-5,up_in_Guy11M
MGG_12020T0,11659,24.37,221.7,0.01333,2.304e-5,up_in_Guy11M
MGG_02238T0,12589,23.69,294.8,0.01368,2.158e-5,up_in_Guy11M
MGG_16133T0,12260,24.25,278.6,0.01378,2.278e-5,up_in_Guy11M
MGG_02591T0,1223,25.42,233.8,0.01407,2.537e-5,up_in_Guy11M
MGG_15503T0,13087,26.98,245.4,0.01433,2.908e-5,up_in_Guy11M
EFMOT00000000161,12884,27.57,197.3,0.01452,3.054e-5,up_in_Guy11M
