target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_08194T0,7257,1.414,1298,1.068e-4,1.605e-8,up_in_pmk1,mst7,pmk1
MGG_15150T0,551,1.414,823.3,2.136e-4,1.605e-8,up_in_pmk1,mst7,pmk1
MGG_02165T0,8371,2.449,0.001886,0.001054,7.923e-8,up_in_mst7,mst7,pmk1
MGG_18130T0,13268,4.899,0.005085,0.002205,4.971e-7,up_in_mst7,mst7,pmk1
MGG_17526T0,12196,7.071,0.004147,0.002359,1.241e-6,up_in_mst7,mst7,pmk1
MGG_12228T0,2784,6.325,0.007131,0.002509,9.426e-7,up_in_mst7,mst7,pmk1
MGG_08519T0,7443,6.928,0.006947,0.002618,1.18e-6,up_in_mst7,mst7,pmk1
MGG_16375T0,4589,6,0.005515,0.002752,8.271e-7,up_in_mst7,mst7,pmk1
MGG_17761T0,5843,5.477,58.9,0.002922,6.587e-7,up_in_pmk1,mst7,pmk1
MGG_04962T0,855,8.307,0.006629,0.003056,1.838e-6,up_in_mst7,mst7,pmk1
MGG_15503T0,13087,4.899,0.005085,0.003307,4.971e-7,up_in_mst7,mst7,pmk1
MGG_16376T0,11578,9.539,0.009843,0.003793,2.565e-6,up_in_mst7,mst7,pmk1
MGG_02095T0,6735,11.49,0.01012,0.005321,3.998e-6,up_in_mst7,mst7,pmk1
MGG_17985T0,13273,8.66,47.19,0.006762,2.033e-6,up_in_pmk1,mst7,pmk1
MGG_08074T0,12337,14.07,0.009493,0.007804,6.451e-6,up_in_mst7,mst7,pmk1
MGG_10274T0,9836,15.1,0.01346,0.008439,7.61e-6,up_in_mst7,mst7,pmk1
MGG_06747T0,2997,16.58,0.007666,0.009694,9.471e-6,up_in_mst7,mst7,pmk1
MGG_15354T0,8502,14.25,34.23,0.01263,6.643e-6,up_in_pmk1,mst7,pmk1
MGG_16282T0,13300,16.25,31.35,0.01335,9.031e-6,up_in_pmk1,mst7,pmk1
MGG_17787T0,1291,13.75,33.97,0.01355,6.108e-6,up_in_pmk1,mst7,pmk1
MGG_10368T0,3250,13.04,43.84,0.01435,5.392e-6,up_in_pmk1,mst7,pmk1
MGG_16359T0,10202,16.12,26.88,0.01476,8.872e-6,up_in_pmk1,mst7,pmk1
MGG_00246T0,92,21.17,0.01397,0.01478,1.667e-5,up_in_mst7,mst7,pmk1
MGG_13563T0,777,24.19,0.03432,0.01507,2.264e-5,up_in_mst7,mst7,pmk1
MGG_02109T0,11259,20.98,0.01901,0.01551,1.632e-5,up_in_mst7,mst7,pmk1
MGG_17618T0,9085,23.98,0.02952,0.01555,2.22e-5,up_in_mst7,mst7,pmk1
MGG_08552T0,12429,23.92,0.01332,0.01631,2.207e-5,up_in_mst7,mst7,pmk1
MGG_01679T0,6582,22.98,0.01023,0.01674,2.013e-5,up_in_mst7,mst7,pmk1
MGG_16692T0,9137,23.66,0.01652,0.01686,2.154e-5,up_in_mst7,mst7,pmk1
MGG_13836T0,11136,18.97,30.33,0.01723,1.295e-5,up_in_pmk1,mst7,pmk1
MGG_15807T0,6884,22.76,25.66,0.01872,1.969e-5,up_in_pmk1,mst7,pmk1
MGG_17234T0,9926,20.62,30.58,0.01897,1.568e-5,up_in_pmk1,mst7,pmk1
MGG_08670T0,6801,21.63,24.57,0.01943,1.752e-5,up_in_pmk1,mst7,pmk1
MGG_02105T0,4553,27.66,0.03752,0.0195,3.077e-5,up_in_mst7,mst7,pmk1
MGG_16041T0,9195,22.45,24.49,0.01953,1.908e-5,up_in_pmk1,mst7,pmk1
MGG_15990T0,4243,28.37,0.01356,0.01973,3.261e-5,up_in_mst7,mst7,pmk1
MGG_16977T0,1037,24.27,18.66,0.02025,2.282e-5,up_in_pmk1,mst7,pmk1
MGG_01569T0,2469,31.46,0.03087,0.02388,4.127e-5,up_in_mst7,mst7,pmk1
MGG_00156T0,6768,32.45,0.01678,0.02454,4.426e-5,up_in_mst7,mst7,pmk1
MGG_10208T0,8268,28.14,26.97,0.02506,3.201e-5,up_in_pmk1,mst7,pmk1
EFMOT00000000314,13009,33.47,0.04695,0.02527,4.747e-5,up_in_mst7,mst7,pmk1
MGG_08817T0,5151,27.96,22.62,0.02624,3.155e-5,up_in_pmk1,mst7,pmk1
MGG_07627T0,10196,35.07,0.0188,0.02701,5.278e-5,up_in_mst7,mst7,pmk1
MGG_10209T0,13247,32.45,21.21,0.031,4.426e-5,up_in_pmk1,mst7,pmk1
MGG_13963T0,7044,39.99,0.02758,0.03149,7.099e-5,up_in_mst7,mst7,pmk1
EFMOT00000000116,12848,41.24,0.04968,0.03165,7.611e-5,up_in_mst7,mst7,pmk1
EFMOT00000000128,12856,39.69,0.0291,0.03202,6.979e-5,up_in_mst7,mst7,pmk1
EFMOT00000000194,12913,40.89,0.02855,0.03205,7.465e-5,up_in_mst7,mst7,pmk1
MGG_16371T0,2568,38.47,0.02728,0.03206,6.506e-5,up_in_mst7,mst7,pmk1
MGG_16565T0,13148,39.12,0.05026,0.0321,6.755e-5,up_in_mst7,mst7,pmk1
MGG_05101T0,6416,42.13,0.02215,0.0322,7.985e-5,up_in_mst7,mst7,pmk1
MGG_16379T0,6711,32.4,18.27,0.03262,4.412e-5,up_in_pmk1,mst7,pmk1
EFMOT00000000273,12975,43.37,0.02945,0.03336,8.524e-5,up_in_mst7,mst7,pmk1
MGG_03913T0,7980,34.64,19.75,0.03415,5.133e-5,up_in_pmk1,mst7,pmk1
MGG_17527T0,12101,44.5,0.03034,0.03433,9.03e-5,up_in_mst7,mst7,pmk1
MGG_15106T0,3621,35.94,19.53,0.03536,5.58e-5,up_in_pmk1,mst7,pmk1
MGG_17808T0,6258,45.9,0.03021,0.03579,9.683e-5,up_in_mst7,mst7,pmk1
MGG_15991T0,1085,49.65,0.02508,0.03659,1.155e-4,up_in_mst7,mst7,pmk1
EFMOT00000000162,12885,49.3,0.03269,0.03688,1.136e-4,up_in_mst7,mst7,pmk1
MGG_03212T0,11873,48.99,0.01579,0.03728,1.121e-4,up_in_mst7,mst7,pmk1
MGG_05824T0,10727,51.85,0.03053,0.03762,1.272e-4,up_in_mst7,mst7,pmk1
MGG_04569T0,4377,50.86,0.02248,0.03772,1.219e-4,up_in_mst7,mst7,pmk1
MGG_11925T0,3452,48.91,0.03362,0.03809,1.116e-4,up_in_mst7,mst7,pmk1
MGG_07733T0,6561,51.67,0.03045,0.03819,1.263e-4,up_in_mst7,mst7,pmk1
MGG_12714T0,1501,48.17,0.01535,0.0388,1.079e-4,up_in_mst7,mst7,pmk1
MGG_06586T0,4514,48.74,0.01881,0.0388,1.108e-4,up_in_mst7,mst7,pmk1
MGG_05940T0,6725,54.12,0.02969,0.04052,1.401e-4,up_in_mst7,mst7,pmk1
MGG_16482T0,11877,40.73,12.72,0.04281,7.4e-5,up_in_pmk1,mst7,pmk1
MGG_09081T0,728,40.42,16.91,0.044,7.274e-5,up_in_pmk1,mst7,pmk1
MGG_01368T0,8885,57.36,0.03802,0.04516,1.595e-4,up_in_mst7,mst7,pmk1
MGG_00743T0,6167,43.08,16.63,0.04656,8.396e-5,up_in_pmk1,mst7,pmk1
MGG_01236T0,10039,44.86,8.344,0.04706,9.194e-5,up_in_pmk1,mst7,pmk1
MGG_15949T0,2537,44.27,17.9,0.04752,8.927e-5,up_in_pmk1,mst7,pmk1
MGG_18048T0,9280,45.92,15.29,0.04777,9.694e-5,up_in_pmk1,mst7,pmk1
EFMOT00000000391,13071,59.5,0.0367,0.04798,1.731e-4,up_in_mst7,mst7,pmk1
MGG_11166T0,5083,48.74,14.78,0.04915,1.108e-4,up_in_pmk1,mst7,pmk1
MGG_09795T0,11712,51.06,9.964,0.04958,1.23e-4,up_in_pmk1,mst7,pmk1
MGG_16804T0,7608,50.4,13.22,0.04966,1.194e-4,up_in_pmk1,mst7,pmk1
MGG_05016T0,4848,48.28,16.36,0.04977,1.085e-4,up_in_pmk1,mst7,pmk1
MGG_17751T0,511,47.62,15.94,0.04998,1.052e-4,up_in_pmk1,mst7,pmk1
MGG_08077T0,11413,52.15,13.42,0.05046,1.289e-4,up_in_pmk1,mst7,pmk1
MGG_17729T0,8170,50.2,14.43,0.05081,1.184e-4,up_in_pmk1,mst7,pmk1
MGG_16502T0,11170,53.08,13.11,0.05098,1.341e-4,up_in_pmk1,mst7,pmk1
MGG_13971T0,1958,55.18,11.35,0.05261,1.463e-4,up_in_pmk1,mst7,pmk1
MGG_15772T0,6137,54.68,11.16,0.05298,1.433e-4,up_in_pmk1,mst7,pmk1
MGG_16774T0,1859,56.04,15.76,0.05301,1.514e-4,up_in_pmk1,mst7,pmk1
