target_id,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,direction,condition,control
MGG_08194T0,7257,1,0.00107,7.515e-5,5.647e-9,up_in_Guy11M,Guy11M,Guy11
MGG_02165T0,8371,1,1005,7.515e-5,5.647e-9,up_in_Guy11,Guy11M,Guy11
MGG_02238T0,12589,2.449,0.004661,5.271e-4,7.923e-8,up_in_Guy11M,Guy11M,Guy11
MGG_16132T0,9097,3,0.006139,6.125e-4,1.381e-7,up_in_Guy11M,Guy11M,Guy11
MGG_16692T0,9137,3.464,164.1,0.001349,2.027e-7,up_in_Guy11,Guy11M,Guy11
MGG_14836T0,370,6.245,0.01042,0.002431,9.135e-7,up_in_Guy11M,Guy11M,Guy11
MGG_13463T0,9160,6.928,0.01202,0.002618,1.18e-6,up_in_Guy11M,Guy11M,Guy11
MGG_08671T0,2236,6,0.01498,0.002752,8.271e-7,up_in_Guy11M,Guy11M,Guy11
MGG_16133T0,12260,8.124,0.01806,0.00331,1.741e-6,up_in_Guy11M,Guy11M,Guy11
MGG_15990T0,4243,6.481,77.45,0.004441,1.001e-6,up_in_Guy11,Guy11M,Guy11
MGG_05483T0,4482,10.39,0.01842,0.004656,3.149e-6,up_in_Guy11M,Guy11M,Guy11
MGG_14113T0,11605,9.899,0.02876,0.004664,2.804e-6,up_in_Guy11M,Guy11M,Guy11
MGG_07412T0,7871,12.49,0.02094,0.006484,4.872e-6,up_in_Guy11M,Guy11M,Guy11
MGG_07675T0,7211,13.56,0.01937,0.00716,5.919e-6,up_in_Guy11M,Guy11M,Guy11
MGG_09733T0,4513,14.49,0.02043,0.007665,6.912e-6,up_in_Guy11M,Guy11M,Guy11
MGG_10619T0,1134,15.49,0.03407,0.007681,8.081e-6,up_in_Guy11M,Guy11M,Guy11
MGG_07264T0,11246,15.43,0.02268,0.008191,8.002e-6,up_in_Guy11M,Guy11M,Guy11
MGG_16125T0,11230,16.58,0.02729,0.008402,9.471e-6,up_in_Guy11M,Guy11M,Guy11
MGG_06747T0,2997,11.4,59.97,0.008708,3.927e-6,up_in_Guy11,Guy11M,Guy11
MGG_03685T0,2513,17.49,0.02415,0.008918,1.072e-5,up_in_Guy11M,Guy11M,Guy11
MGG_09716T0,12349,19.34,0.02047,0.01,1.353e-5,up_in_Guy11M,Guy11M,Guy11
MGG_06586T0,4514,11.31,50.88,0.01026,3.855e-6,up_in_Guy11,Guy11M,Guy11
MGG_03212T0,11873,10.39,57.22,0.01048,3.149e-6,up_in_Guy11,Guy11M,Guy11
MGG_03640T0,5573,19.34,0.02982,0.01059,1.353e-5,up_in_Guy11M,Guy11M,Guy11
MGG_01679T0,6582,13.42,46.9,0.01096,5.768e-6,up_in_Guy11,Guy11M,Guy11
MGG_08519T0,7443,14.97,47.86,0.0124,7.454e-6,up_in_Guy11,Guy11M,Guy11
MGG_08523T0,4055,23.81,0.02807,0.01454,2.185e-5,up_in_Guy11M,Guy11M,Guy11
MGG_11310T0,6047,23.49,0.02624,0.01484,2.119e-5,up_in_Guy11M,Guy11M,Guy11
MGG_12228T0,2784,17.32,46.83,0.01549,1.048e-5,up_in_Guy11,Guy11M,Guy11
MGG_14595T0,6742,27.75,0.03355,0.01794,3.1e-5,up_in_Guy11M,Guy11M,Guy11
MGG_01334T0,11937,27.71,0.03016,0.0187,3.091e-5,up_in_Guy11M,Guy11M,Guy11
MGG_16076T0,6710,19.87,48.62,0.01918,1.441e-5,up_in_Guy11,Guy11M,Guy11
MGG_13543T0,10407,27.57,0.03062,0.01935,3.054e-5,up_in_Guy11M,Guy11M,Guy11
MGG_17034T0,8284,24.49,22.51,0.02068,2.331e-5,up_in_Guy11,Guy11M,Guy11
MGG_00270T0,4770,24.08,33.97,0.02131,2.242e-5,up_in_Guy11,Guy11M,Guy11
MGG_10274T0,9836,26.94,29.75,0.02143,2.899e-5,up_in_Guy11,Guy11M,Guy11
MGG_04556T0,6944,23.87,35.67,0.0225,2.198e-5,up_in_Guy11,Guy11M,Guy11
MGG_14061T0,1784,22.2,28.29,0.02251,1.861e-5,up_in_Guy11,Guy11M,Guy11
EFMOT00000000306,13001,26.93,16.83,0.02266,2.894e-5,up_in_Guy11,Guy11M,Guy11
MGG_13563T0,777,34,30.17,0.02338,4.92e-5,up_in_Guy11,Guy11M,Guy11
MGG_16375T0,4589,23.47,34.82,0.02344,2.114e-5,up_in_Guy11,Guy11M,Guy11
MGG_02339T0,6836,33.63,0.04425,0.02366,4.8e-5,up_in_Guy11M,Guy11M,Guy11
EFMOT00000000128,12856,26.72,28.93,0.02366,2.844e-5,up_in_Guy11,Guy11M,Guy11
MGG_05533T0,5383,31.94,0.0265,0.02367,4.269e-5,up_in_Guy11M,Guy11M,Guy11
MGG_03497T0,1431,34.32,0.03943,0.02389,5.026e-5,up_in_Guy11M,Guy11M,Guy11
MGG_16410T0,6679,33.41,0.03566,0.0242,4.728e-5,up_in_Guy11M,Guy11M,Guy11
MGG_12081T0,12173,32.85,0.03096,0.02422,4.55e-5,up_in_Guy11M,Guy11M,Guy11
MGG_03940T0,815,33.99,23.6,0.02423,4.915e-5,up_in_Guy11,Guy11M,Guy11
MGG_10254T0,10818,33.94,20.06,0.02508,4.901e-5,up_in_Guy11,Guy11M,Guy11
MGG_00625T0,5690,37.11,0.03896,0.02574,5.997e-5,up_in_Guy11M,Guy11M,Guy11
MGG_08317T0,9235,33.82,21.85,0.02588,4.862e-5,up_in_Guy11,Guy11M,Guy11
MGG_01506T0,6596,29.98,27.76,0.0259,3.698e-5,up_in_Guy11,Guy11M,Guy11
MGG_05980T0,32,36.12,24.24,0.0259,5.644e-5,up_in_Guy11,Guy11M,Guy11
MGG_07720T0,5514,36.76,0.03533,0.02603,5.869e-5,up_in_Guy11M,Guy11M,Guy11
MGG_10051T0,6685,36.33,0.0398,0.02623,5.717e-5,up_in_Guy11M,Guy11M,Guy11
MGG_04962T0,855,33.5,29.46,0.02637,4.756e-5,up_in_Guy11,Guy11M,Guy11
MGG_15503T0,13087,32.98,68.65,0.02658,4.593e-5,up_in_Guy11,Guy11M,Guy11
MGG_01418T0,5510,38.24,0.03826,0.02668,6.417e-5,up_in_Guy11M,Guy11M,Guy11
