gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8371,3.46,4.027e-4,3.299e-21,2.479e-25
12196,19.08,2.717e-13,1.616e-13,2.428e-17
9137,25.19,0.003624,1.482e-12,3.341e-16
1200,68.36,2.576e-12,7.388e-9,2.221e-12
4145,78.68,3.338e-12,1.897e-8,7.126e-12
12101,84.81,4.039e-12,2.921e-8,1.317e-11
3771,87.74,0.00666,3.303e-8,1.737e-11
12847,93.53,0.01266,4.849e-8,2.915e-11
13268,95.98,0.008197,5.306e-8,3.589e-11
13087,98.77,0.008197,6.014e-8,4.519e-11
2090,107.2,0.1796,1.048e-7,8.665e-11
2911,139.4,0.006307,7.558e-7,6.815e-10
4249,169.4,0.005096,3.082e-6,3.011e-9
12913,171,0.02067,3.065e-6,3.224e-9
13001,191.6,0.05357,6.707e-6,7.56e-9
12975,200.1,0.07459,8.668e-6,1.042e-8
12856,208.4,0.01686,1.101e-5,1.406e-8
7711,209.2,0.03462,1.069e-5,1.446e-8
5492,217.3,0.003601,1.34e-5,1.913e-8
9282,219.7,0.02031,1.38e-5,2.075e-8
6258,221.5,0.02345,1.396e-5,2.203e-8
12885,223.9,0.0154,1.438e-5,2.377e-8
11770,229.5,3.94e-6,1.645e-5,2.844e-8
8195,239.4,0.02169,2.145e-5,3.868e-8
5644,243.9,0.01295,2.356e-5,4.426e-8
823,249.5,0.01584,2.668e-5,5.214e-8
13071,251,0.1509,2.683e-5,5.445e-8
11951,252.3,0.007188,2.682e-5,5.643e-8
12520,257.8,0.004743,3.025e-5,6.593e-8
4041,269.5,2.176e-11,4.015e-5,9.051e-8
11578,284.2,0.1054,5.656e-5,1.318e-7
11605,306.1,0.006561,9.227e-5,2.219e-7
292,307.7,8.881e-11,9.288e-5,2.303e-7
253,335.5,0.02785,1.644e-4,4.2e-7
11259,337.6,0.03265,1.669e-4,4.39e-7
12144,347.3,0.02099,1.971e-4,5.332e-7
6561,354.2,0.003036,2.196e-4,6.105e-7
1526,356.4,4.488e-11,2.229e-4,6.365e-7
1337,365.2,0.01292,2.569e-4,7.53e-7
11839,365.5,0.01108,2.518e-4,7.568e-7
13024,370.2,1.608e-11,2.681e-4,8.261e-7
4846,382.8,4.66e-11,3.281e-4,1.036e-6
12974,396.8,0.08902,4.085e-4,1.32e-6
8794,419,0.1665,5.76e-4,1.905e-6
6048,427.9,3.05e-11,6.477e-4,2.19e-6
10111,447.9,0.02978,8.589e-4,2.969e-6
2568,452.4,0.0377,8.982e-4,3.172e-6
5037,452.6,6.458e-11,8.818e-4,3.181e-6
7139,455.7,0.01579,9.034e-4,3.327e-6
8519,460.1,0.2987,9.432e-4,3.544e-6
7298,467.5,0.01962,0.001028,3.939e-6
1285,468.3,0.1095,0.001019,3.983e-6
5390,476.5,0.0341,0.001121,4.465e-6
12869,488.6,0.1299,0.001296,5.261e-6
11078,493.6,0.3586,0.00136,5.619e-6
9202,501.6,8.258e-11,0.001484,6.245e-6
10706,520.6,0.02749,0.001854,7.942e-6
3862,522,0.01756,0.001855,8.084e-6
3801,534.3,0.05874,0.002119,9.397e-6
8030,545.6,0.05384,0.002385,1.075e-5
1895,550.7,0.05223,0.00249,1.141e-5
11110,553.7,1.002e-10,0.002534,1.181e-5
3890,554.3,0.2786,0.002512,1.189e-5
12933,561.2,0.2652,0.002678,1.288e-5
3627,580,0.1306,0.003251,1.588e-5
3551,585.7,0.08173,0.003409,1.691e-5
10875,585.9,0.1089,0.003364,1.694e-5
11115,586.4,0.2272,0.003334,1.703e-5
11304,587.9,0.1048,0.003337,1.73e-5
6730,593.3,0.03189,0.003485,1.833e-5
8751,601.4,5.742e-11,0.003745,1.998e-5
1804,603.3,0.04903,0.003767,2.038e-5
8375,603.5,0.05259,0.003723,2.043e-5
7707,606,0.03396,0.00377,2.097e-5
12844,614.6,0.102,0.004063,2.29e-5
12935,617.8,0.06995,0.004142,2.366e-5
9247,617.8,0.07294,0.004092,2.368e-5
13159,620.9,0.1534,0.004167,2.442e-5
11850,621.6,0.1211,0.004146,2.461e-5
4231,624.2,0.07373,0.0042,2.525e-5
2735,635,0.1398,0.004618,2.811e-5
10854,636.9,0.1472,0.004647,2.864e-5
3312,641.1,0.003389,0.004786,2.985e-5
12981,641.9,0.1967,0.004764,3.007e-5
11797,664.8,0.1087,0.005855,3.74e-5
11775,666.3,0.03541,0.005871,3.794e-5
5826,669.9,0.4097,0.005998,3.921e-5
10171,674.7,0.02419,0.0062,4.1e-5
1310,679.3,0.03461,0.006396,4.278e-5
4375,683.4,0.06856,0.006562,4.438e-5
4288,689.4,0.03529,0.006849,4.684e-5
7444,691.7,0.01265,0.006916,4.781e-5
12926,693,2.036e-11,0.006919,4.835e-5
668,696.3,0.08358,0.007051,4.981e-5
12804,696.9,0.1358,0.007012,5.006e-5
3518,699.5,0.009548,0.007098,5.121e-5
370,701.4,0.0279,0.007144,5.207e-5
12828,706,0.1018,0.007363,5.423e-5
12759,712.3,0.0695,0.007697,5.727e-5
10936,716.3,0.01057,0.007883,5.924e-5
12848,724.5,0.1178,0.008371,6.354e-5
8471,736,0.0107,0.009126,6.995e-5
12489,743.8,0.01476,0.009632,7.455e-5
4585,748.3,0.2645,0.009893,7.731e-5
2369,752.8,0.1787,0.01016,8.02e-5
11047,756.9,0.04012,0.01041,8.29e-5
7367,761.3,0.06054,0.01068,8.585e-5
8285,762.3,0.08009,0.01066,8.653e-5
13065,767.1,2.923e-11,0.01097,8.985e-5
1105,768.8,0.01703,0.01102,9.112e-5
1597,774.2,0.5239,0.01139,9.503e-5
13020,774.7,0.09188,0.01133,9.538e-5
6703,777.6,0.05023,0.01149,9.757e-5
9837,785.8,0.08791,0.01213,1.039e-4
13148,788,0.2493,0.01223,1.057e-4
12887,794.2,0.1306,0.0127,1.108e-4
13009,803.1,0.1443,0.01347,1.184e-4
10012,807.3,0.1247,0.01378,1.222e-4
61,808.7,0.01779,0.0138,1.234e-4
6183,816.6,0.09086,0.01451,1.308e-4
7799,825.7,0.02726,0.01538,1.398e-4
3762,829.1,0.1578,0.01562,1.432e-4
12218,831.8,0.02359,0.0158,1.461e-4
634,841.7,0.218,0.01681,1.567e-4
3960,846.3,0.009481,0.01722,1.618e-4
12812,855,0.2266,0.01816,1.72e-4
11424,857.8,0.1443,0.01837,1.753e-4
9687,865,0.1411,0.01914,1.841e-4
12946,873.8,0.1379,0.02017,1.955e-4
12896,874.5,0.08793,0.0201,1.963e-4
12884,880.3,0.1041,0.02074,2.041e-4
743,880.5,0.3036,0.02062,2.045e-4
9215,885.9,0.1321,0.0212,2.119e-4
6836,889.3,0.1005,0.02152,2.167e-4
6032,889.5,1.378e-10,0.0214,2.171e-4
12861,897.2,0.3582,0.02234,2.283e-4
3415,905,0.2617,0.02333,2.402e-4
13292,908.8,1.507e-10,0.02373,2.461e-4
13294,911.6,1.507e-10,0.02399,2.505e-4
2674,913.1,0.1088,0.02404,2.53e-4
9890,914.6,0.09303,0.02411,2.554e-4
12782,925.2,0.489,0.02559,2.731e-4
12763,926.7,0.1276,0.02566,2.758e-4
