gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
12196,2.449,1728000000000,0.001054,7.923e-8
9137,5,428500000000,0.003483,5.235e-7
12913,10.95,244000000000,0.01584,3.57e-6
6258,11.49,230500000000,0.0133,3.998e-6
12975,12,245900000000,0.0118,4.433e-6
12885,12,214000000000,0.009831,4.433e-6
12101,12.37,230200000000,0.009053,4.762e-6
13071,15.87,189200000000,0.01423,8.554e-6
1200,19.34,164300000000,0.02001,1.353e-5
2090,22.23,142400000000,0.02482,1.865e-5
4145,22.91,138700000000,0.0242,2e-5
12828,24.08,14.45,0.02486,2.242e-5
12926,25.69,134100000000,0.02661,2.6e-5
8371,25.98,1103,0.02535,2.667e-5
12935,28.28,122300000000,0.02873,3.238e-5
3771,29.29,107200000000,0.02917,3.507e-5
8519,32.31,97290000000,0.03431,4.383e-5
12805,37.83,11.59,0.0463,6.263e-5
13087,38.03,202.6,0.04439,6.337e-5
13019,41.16,90280000000,0.05041,7.576e-5
12869,41.57,79270000000,0.04909,7.748e-5
4153,44.83,2.954,0.05555,9.184e-5
12824,45.3,69280000000,0.05438,9.4e-5
12880,45.46,70210000000,0.05255,9.477e-5
2735,46.83,68620000000,0.05391,1.013e-4
13268,47.47,202.6,0.05343,1.044e-4
11578,47.87,117.7,0.05245,1.064e-4
922,48.37,24.4,0.05177,1.089e-4
12983,50.2,8.592,0.05431,1.184e-4
11259,52.54,159.6,0.05813,1.311e-4
13048,63.8,6.053,0.0868,2.022e-4
12961,65.5,55070000000,0.08916,2.144e-4
10005,67.37,43810000000,0.09206,2.283e-4
4630,68.85,57110000000,0.09376,2.396e-4
12933,70.74,10.54,0.09674,2.545e-4
11775,81.24,251.1,0.1279,3.459e-4
12838,83.28,32630000000,0.1314,3.654e-4
11115,84.43,32740000000,0.1319,3.767e-4
12763,87.41,21.66,0.1388,4.068e-4
10706,88.33,41550000000,0.1385,4.163e-4
13017,90.02,9.75,0.1409,4.342e-4
13241,92.52,29380000000,0.1461,4.613e-4
9074,93.45,32660000000,0.1459,4.715e-4
12909,94.47,30130000000,0.1461,4.83e-4
