gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8794,1,6316000000000,7.515e-5,5.647e-9
6494,6.708,327500000000,0.007254,1.09e-6
12884,8,321800000000,0.0074400000000000004,1.677e-6
1799,10.39,250700000000,0.01048,3.149e-6
11646,10.58,206000000000,0.008752,3.289e-6
13029,12.04,161.8,0.009912,4.469e-6
2735,14.97,147000000000,0.01417,7.454e-6
609,15.43,802.8,0.01331,8.002e-6
3960,15.49,122300000000,0.01195,8.081e-6
12843,17.75,214600000000,0.01476,1.109e-5
8479,22.05,65410000000,0.02214,1.83e-5
6319,23.81,59850000000,0.02423,2.185e-5
11605,25.02,33465,0.02505,2.447e-5
370,25.5,44668,0.02428,2.555e-5
7224,27.28,55540000000,0.02645,2.981e-5
13087,28.35,10480000000,0.02709,3.257e-5
13268,30.74,10480000000,0.03064,3.914e-5
2236,34.23,22052,0.03694,4.997e-5
9097,36.33,698.1,0.04004,5.717e-5
9137,39.62,400.4,0.04627,6.954e-5
10190,40.64,36200000000,0.04667,7.365e-5
5042,43.68,2842,0.05239,8.662e-5
6213,45.46,623.9,0.05483,9.477e-5
7451,49.36,24770000000,0.06318,1.14e-4
8799,51.12,26380000000,0.06561,1.233e-4
9837,53.22,3061,0.06904,1.349e-4
3109,54.71,20770000000,0.07072,1.435e-4
9160,65.3,642.9,0.1012,2.13e-4
2939,65.73,491,0.09915,2.161e-4
8009,65.73,17420000000,0.09585,2.161e-4
10111,68.28,37.21,0.101,2.352e-4
12735,72.36,15270000000,0.1113,2.676e-4
12408,74.07,549.3,0.1137,2.819e-4
7670,84.49,8814000000,0.1477,3.773e-4
3983,85.93,190.4,0.1489,3.917e-4
12856,86.96,33.36,0.1487,4.022e-4
7374,92.85,18750000000,0.1672,4.649e-4
4539,99.25,355.3,0.1886,5.386e-4
6238,105.2,6087000000,0.2091,6.129e-4
11147,107.9,225.3,0.21560000000000001,6.479e-4
2865,108.9,5687000000,0.2147,6.614e-4
11770,109.5,6463,0.2117,6.683e-4
11850,110.2,38.6,0.2099,6.784e-4
1375,111.9,6434000000,0.2123,7.021e-4
9855,117.7,233.2,0.2306,7.799e-4
8802,118.3,91.27,0.2275,7.865e-4
12219,121.2,29.99,0.2333,8.24e-4
3228,121.6,4780000000,0.2299,8.294e-4
6859,122.7,233.5,0.229,8.431e-4
4479,123.3,4965000000,0.2267,8.517e-4
12045,126.2,70.86,0.2322,8.899e-4
11963,127.5,7203000000,0.232,9.066e-4
736,131.2,41.2,0.2404,9.573e-4
2185,131.3,74.05,0.2363,9.588e-4
11194,132.3,4670000000,0.2353,9.726e-4
10171,136.1,405.7,0.2435,0.001025
8870,145.2,89.57,0.2699,0.001156
12173,145.8,16.67,0.2674,0.001165
2853,147.6,3193000000,0.2691,0.001193
10858,147.9,95.02,0.2653,0.001196
1376,148.5,5432000000,0.263,0.001205
437,150.5,21.32,0.2654,0.001237
399,150.6,61.36,0.2615,0.001238
12993,151.2,13.68,0.2592,0.001246
10959,153.4,3590000000,0.2622,0.001281
668,154.7,378,0.2624,0.001301
2271,160.9,52.76,0.2779,0.001399
2009,167.7,79.03,0.2956,0.00151
7515,171.8,23.83,0.3043,0.001578
8607,177.3,120,0.3179,0.001672
8003,179.9,47.04,0.322,0.001718
10012,180.9,29.61,0.3207,0.001735
4552,184.4,119.1,0.3278,0.001798
11922,188.2,191.7,0.3356,0.001866
3033,194.3,374065504,0.3507,0.001977
8371,194.3,190500000000,0.3461,0.001977
477,196.5,2278000000,0.3489,0.002019
7304,198.2,195.1,0.3497,0.00205
7588,202.2,40.55,0.3583,0.002127
6448,208.6,25.95,0.3743,0.00225
12385,210.3,83.54,0.3752,0.002284
4114,215.1,170.4,0.3859,0.002378
6580,216.3,1022000000,0.3854,0.002404
1177,216.8,42.17,0.3822,0.002413
4856,217.2,25.57,0.3792,0.002422
10528,219.3,39.51,0.3812,0.002464
8735,219.4,81.01,0.3773,0.002467
7232,234.9,49.01,0.4219,0.00279
109,235.7,45.2,0.4196,0.002807
9499,242.2,13.96,0.436,0.002949
861,251.9,8.499,0.4625,0.003163
7153,252.5,92.35,0.4595,0.003177
9953,254,29.5,0.4595,0.003211
6649,255.6,64.05,0.4597,0.003248
12506,256.2,21.89,0.4567,0.00326
3627,256.7,36.48,0.4536,0.003272
10548,262.4,11.71,0.467,0.003404
10903,264.7,18.13,0.4697,0.003459
6225,265.6,54.28,0.4675,0.003478
5514,269.2,1656,0.4743,0.003564
2082,271,104.9,0.4752,0.003607
5840,274.7,21.51,0.4823,0.003697
12287,280,11.12,0.494,0.003824
9008,284,14.9,0.5019,0.003923
710,287.3,124.1,0.5075,0.004004
743,292.5,19.3,0.5189,0.004134
3852,297.5,110.7,0.53,0.004261
4648,305.9,42.43,0.5518,0.004478
12913,311.2,75240000000,0.5636,0.004617
12222,314.3,10.42,0.5685,0.004699
987,317.9,76.12,0.5749,0.004796
4055,326.8,4128,0.5985,0.005037
11517,329.3,25.28,0.6013,0.005106
5579,330,42.83,0.5981,0.005124
5383,330.3,1830,0.5939,0.005133
10916,330.7,1652,0.5902,0.005145
4254,332.3,25.91,0.59,0.005188
1223,332.9,1548,0.587,0.005205
6318,333.2,27.71,0.5831,0.005214
12081,333.9,1364,0.5803,0.005233
7871,335.4,872.2,0.5801,0.005275
10029,336.8,761.7,0.5796,0.005314
1105,339.7,507.5,0.5835,0.005394
4482,339.9,657.6,0.5795,0.0054
2776,341.1,4.4,0.5785,0.005434
11012,341.9,522,0.5762,0.005456
11937,341.9,594.9,0.5718,0.005457
