gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
12802,1,4.55e-13,7.515e-5,5.647e-9
8371,3.464,1.031e-12,0.001349,2.027e-7
13038,8.124,1.809e-12,0.007723,1.741e-6
12887,12.25,1.463e-12,0.01548,4.652e-6
12975,18.17,5.074e-12,0.03115,1.171e-5
13004,22.72,5.376e-12,0.04349,1.961e-5
13062,27.17,6.644e-12,0.05615,2.954e-5
12985,28.72,8.282e-12,0.05579,3.354e-5
9837,30.59,8.451e-12,0.05725,3.872e-5
13133,34.99,0.127,0.06985,5.249e-5
12851,36.33,0.02304,0.06916,5.717e-5
9137,38.34,0.007461,0.0716,6.456e-5
3440,40.42,1.129e-11,0.07446,7.274e-5
13012,40.95,0.02025,0.0712,7.49e-5
12974,46.04,1.322e-11,0.0865,9.75e-5
9356,65.63,2.067e-11,0.1791,2.154e-4
5440,66,2.19e-11,0.1707,2.181e-4
615,66.09,2.151e-11,0.1617,2.188e-4
8752,67.35,2.104e-11,0.1598,2.281e-4
12845,71.62,0.0737,0.174,2.616e-4
12759,74.22,0.07652,0.1794,2.831e-4
12778,76.54,0.08906,0.1834,3.032e-4
6124,78.23,2.685e-11,0.1841,3.182e-4
10190,78.93,0.04599,0.1799,3.245e-4
2800,79.65,0.005137,0.1762,3.311e-4
1015,85.88,2.211e-11,0.2002,3.912e-4
10138,90.42,3.528e-11,0.2161,4.384e-4
13087,96.34,0.05792,0.2397,5.044e-4
11147,97.82,4.105e-11,0.2393,5.216e-4
5037,100.9,4.165e-11,0.2477,5.585e-4
3200,104.6,0.05293,0.2597,6.049e-4
13268,108.7,0.05792,0.2737,6.582e-4
1932,111.9,0.0209,0.2831,7.021e-4
12756,113.3,0.09466,0.2822,7.21e-4
12865,116,1.425e-12,0.2882,7.579e-4
1832,116.1,0.0756,0.2808,7.596e-4
2049,121.4,5.46e-11,0.2972,8.264e-4
7918,124.5,5.662e-11,0.3034,8.664e-4
11710,128.1,5.905e-11,0.3123,9.152e-4
8688,131.5,0.3365,0.3195,9.605e-4
12633,136.2,0.02203,0.3332,0.001026
12338,136.7,0.008034,0.3276,0.001034
1612,139.6,6.655e-11,0.3327,0.001075
2799,142.7,0.002961,0.3386,0.00112
11069,145.5,0.09437,0.3433,0.001161
4827,147.5,7.49e-11,0.3444,0.00119
2560,153.3,0.1138,0.3621,0.001279
11677,153.9,0.06697,0.3572,0.001288
8236,155.3,8.338e-11,0.3558,0.00131
12819,156.6,0.1079,0.3543,0.001331
12826,160.2,0.1079,0.3624,0.001389
