epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7838,0,124.938,0,0,0,0,0,0,143.193,0,0.0002,0.0002,0.0002
2,50.1444,0,116.997,0,0,0,0,0,0,143.198,0,0.000411684,0.000411684,0.000411684
3,57.4182,0,105.005,0,0,0,0,0,0,192.255,0,0.000614656,0.000614656,0.000614656
4,63.1856,0,92.9278,0,0,0,0,0,0,153.724,0,0.000808916,0.000808916,0.000808916
5,70.4494,0,83.3783,0,0,0,0,0,0,145.25,0,0.000994464,0.000994464,0.000994464
6,76.6487,0,76.0105,0,0,0,0,0,0,118.349,0,0.0011713,0.0011713,0.0011713
7,82.3524,0,69.4971,0,0,0,0,0,0,60.0417,0,0.00133942,0.00133942,0.00133942
8,89.9312,0,64.2437,0,0,0,0,0,0,2.52409,0,0.00149884,0.00149884,0.00149884
9,95.5016,0,60.2591,0,0,0,0,0,0,68.3464,0,0.00164954,0.00164954,0.00164954
10,102.722,0,57.375,0,0,0,0,0,0,66.6302,0,0.0016436,0.0016436,0.0016436
11,108.224,0,53.8013,0,0,0,0,0,0,285.708,0,0.001604,0.001604,0.001604
12,113.796,0,50.5042,0,0,0,0,0,0,nan,0,0.0015644,0.0015644,0.0015644
13,121.775,0,46.7987,0,0,0,0,0,0,nan,0,0.0015248,0.0015248,0.0015248
14,126.629,0,43.5814,0,0,0,0,0,0,nan,0,0.0014852,0.0014852,0.0014852
15,134.248,0,40.8261,0,0,0,0,0,0,21.0749,0,0.0014456,0.0014456,0.0014456
16,139.654,0,38.252,0,0,0,0,0,0,nan,0,0.001406,0.001406,0.001406
17,145.025,0,35.5596,0,0,0,0,0,0,nan,0,0.0013664,0.0013664,0.0013664
18,152.071,0,33.2845,0,0,0,0,0,0,nan,0,0.0013268,0.0013268,0.0013268
19,156.945,0,31.2517,0,0,0,0,0,0,nan,0,0.0012872,0.0012872,0.0012872
20,164.15,0,29.2312,0,0,0,0,0,0,82.7292,0,0.0012476,0.0012476,0.0012476
21,169.35,0,27.1601,0,0,0,0,0,0,20.3151,0,0.001208,0.001208,0.001208
22,174.664,0,25.3459,0,0,0,0,0,0,20.4531,0,0.0011684,0.0011684,0.0011684
23,182.082,0,23.6492,0,0,0,0,0,0,20.4453,0,0.0011288,0.0011288,0.0011288
24,187.344,0,22.1848,0,0,0,0,0,0,20.1341,0,0.0010892,0.0010892,0.0010892
25,194.232,0,20.7415,0,0,0,0,0,0,15.9779,0,0.0010496,0.0010496,0.0010496
26,200.572,0,19.421,0,0,0,0,0,0,7.89486,0,0.00101,0.00101,0.00101
27,205.434,0,18.1815,0,0,0,0,0,0,3.27474,0,0.0009704,0.0009704,0.0009704
28,212.846,0,17.1463,0,0,0,0,0,0,4.73438,0,0.0009308,0.0009308,0.0009308
29,217.765,0,16.1687,0,0,0,0,0,0,0.86556,0,0.0008912,0.0008912,0.0008912
30,225.211,0,15.2894,0,0,0,0,0,0,0.19922,0,0.0008516,0.0008516,0.0008516
31,231.153,0,14.4336,0,0,0,0,0,0,0.01432,0,0.000812,0.000812,0.000812
32,236.712,0,13.657,0,0,0,0,0,0,0.00098,0,0.0007724,0.0007724,0.0007724
33,244.015,0,12.9378,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,249.619,0,12.3454,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,257.086,0,11.8359,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,262.714,0,11.3357,0,0,0,0,0,0,0.01855,0,0.000614,0.000614,0.000614
37,268.808,0,10.9154,0,0,0,0,0,0,0.02637,0,0.0005744,0.0005744,0.0005744
38,276.339,0,10.5645,0,0,0,0,0,0,0.01758,0,0.0005348,0.0005348,0.0005348
39,282.298,0,10.2317,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,289.803,0,9.94573,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,298.772,0,9.69741,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,306.63,0,9.45375,0,0,0,0,0,0,0.0013,0,0.0003764,0.0003764,0.0003764
43,312.278,0,9.26657,0,0,0,0,0,0,0.00521,0,0.0003368,0.0003368,0.0003368
44,319.223,0,9.04494,0,0,0,0,0,0,0.00293,0,0.0002972,0.0002972,0.0002972
45,324.823,0,8.84664,0,0,0,0,0,0,0.01139,0,0.0002576,0.0002576,0.0002576
46,330.259,0,8.70474,0,0,0,0,0,0,0.23372,0,0.000218,0.000218,0.000218
47,337.486,0,8.58516,0,0,0,0,0,0,0.00618,0,0.0001784,0.0001784,0.0001784
48,343.055,0,8.50225,0,0,0,0,0,0,0.00521,0,0.0001388,0.0001388,0.0001388
49,349.924,0,8.40884,0,0,0,0,0,0,0.0026,0,9.92e-05,9.92e-05,9.92e-05
50,356.115,0,8.38845,0,0,0,0,0,0,0.00098,0,5.96e-05,5.96e-05,5.96e-05
