Item,Item Code,Year,Unit,Element,Element Code,Global_Production,Number_of_Countries
Urea,4001,2023,TRUE,Production,5510,66423453.75,30
Potassium chloride (muriate of potash) (MOP),4016,2023,TRUE,Production,5510,37503781.7,19
NPK fertilizers,4021,2023,TRUE,Production,5510,27159006.76,27
Ammonium nitrate (AN),4003,2023,TRUE,Production,5510,15317041.13,22
Other NP compounds,4024,2023,TRUE,Production,5510,14197148.71,20
"Ammonia, anhydrous",4007,2023,TRUE,Production,5510,11763326,21
Diammonium phosphate (DAP),4022,2023,TRUE,Production,5510,11034290.46,23
"Superphosphates, other",4013,2023,TRUE,Production,5510,9850432.52,20
Ammonium sulphate,4002,2023,TRUE,Production,5510,6445552.14,26
Potassium nitrate,4025,2023,TRUE,Production,5510,6347255.25,21
Phosphate rock,4011,2023,TRUE,Production,5510,5358047,16
"Other phosphatic fertilizers, n.e.c.",4014,2023,TRUE,Production,5510,4494150,18
Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate,4004,2023,TRUE,Production,5510,3647574.35,20
Urea and ammonium nitrate solutions (UAN),4006,2023,TRUE,Production,5510,3350296.71,21
Monoammonium phosphate (MAP),4023,2023,TRUE,Production,5510,1008839.13,21
Fertilizers n.e.c.,4030,2023,TRUE,Production,5510,891037.35,19
Superphosphates above 35%,4012,2023,TRUE,Production,5510,839879,22
"Other nitrogenous fertilizers, n.e.c.",4008,2023,TRUE,Production,5510,328387.64,20
Potassium sulphate (sulphate of potash) (SOP),4017,2023,TRUE,Production,5510,123947.08,21
PK compounds,4027,2023,TRUE,Production,5510,114441.62,19
"Other potassic fertilizers, n.e.c.",4018,2023,TRUE,Production,5510,80215.28,16
Sodium nitrate,4005,2023,TRUE,Production,5510,25168.1,19
Other NK compounds,4026,2023,TRUE,Production,5510,148.32999999999998,15
