test_id,timepoint,meas_start,meas_end,duration
0,1,1,7,6
1,1,7,13,6
0,15,15,21,6
1,15,21,27,6
0,30,30,36,6
1,30,36,42,6
0,60,60,66,6
1,60,66,72,6
2,1,73,79,6
3,1,79,85,6
2,15,87,93,6
3,15,93,99,6
2,30,102,108,6
3,30,108,114,6
0,120,120,126,6
1,120,126,132,6
2,60,132,138,6
3,60,138,144,6
4,1,145,151,6
5,1,151,157,6
4,15,159,165,6
5,15,165,171,6
4,30,174,180,6
5,30,180,186,6
2,120,192,198,6
3,120,198,204,6
4,60,204,210,6
5,60,210,216,6
0,240,240,246,6
1,240,246,252,6
4,120,264,270,6
5,120,270,276,6
6,1,277,283,6
6,15,291,297,6
6,30,306,312,6
2,240,312,318,6
3,240,318,324,6
6,60,336,342,6
7,1,343,349,6
8,1,349,355,6
7,15,357,363,6
8,15,363,369,6
7,30,372,378,6
8,30,378,384,6
4,240,384,390,6
5,240,390,396,6
6,120,396,402,6
7,60,402,408,6
8,60,408,414,6
9,1,415,421,6
10,1,421,427,6
9,15,429,435,6
10,15,435,441,6
9,30,444,450,6
10,30,450,456,6
7,120,462,468,6
8,120,468,474,6
9,60,474,480,6
10,60,480,486,6
11,1,493,499,6
11,15,507,513,6
6,240,516,522,6
11,30,522,528,6
9,120,534,540,6
10,120,540,546,6
11,60,552,558,6
7,240,582,588,6
8,240,588,594,6
11,120,612,618,6
12,1,619,625,6
12,15,633,639,6
12,30,648,654,6
9,240,654,660,6
10,240,660,666,6
12,60,678,684,6
13,1,685,691,6
14,1,691,697,6
13,15,699,705,6
14,15,705,711,6
13,30,714,720,6
14,30,720,726,6
11,240,732,738,6
12,120,738,744,6
13,60,744,750,6
14,60,750,756,6
15,1,757,763,6
16,1,763,769,6
15,15,771,777,6
16,15,777,783,6
15,30,786,792,6
16,30,792,798,6
13,120,804,810,6
14,120,810,816,6
15,60,816,822,6
16,60,822,828,6
17,1,835,841,6
17,15,849,855,6
12,240,858,864,6
17,30,864,870,6
15,120,876,882,6
16,120,882,888,6
17,60,894,900,6
13,240,924,930,6
14,240,930,936,6
17,120,954,960,6
15,240,996,1002,6
16,240,1002,1008,6
17,240,1074,1080,6
0,1440,1440,1446,6
1,1440,1446,1452,6
2,1440,1512,1518,6
3,1440,1518,1524,6
4,1440,1584,1590,6
5,1440,1590,1596,6
6,1440,1716,1722,6
7,1440,1782,1788,6
8,1440,1788,1794,6
9,1440,1854,1860,6
10,1440,1860,1866,6
11,1440,1932,1938,6
12,1440,2058,2064,6
13,1440,2124,2130,6
14,1440,2130,2136,6
15,1440,2196,2202,6
16,1440,2202,2208,6
17,1440,2274,2280,6
