gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
4557,3,5668000000,0.001837,1.381e-7
13106,6,3743000000,0.005503,8.271e-7
7108,10.68,2654000000,0.0149,3.359e-6
11170,18.87,10.88,0.04252,1.278e-5
9899,19.34,1469000000,0.03601,1.353e-5
15,22.91,15.4,0.04436,2e-5
12825,27.96,2773000000,0.05998,3.155e-5
11956,30.03,1404000000,0.06175,3.712e-5
4759,34.9,8.939,0.07718,5.22e-5
821,35.1,1569000000,0.07037,5.288e-5
3593,37.71,13.06,0.07523,6.219e-5
5386,37.79,44.44,0.06929,6.248e-5
4312,38.16,1008000000,0.06538,6.387e-5
8282,38.73,864750875,0.06278,6.605e-5
12099,42.33,621550347,0.0716,8.071e-5
1218,44.9,558315927,0.07664,9.215e-5
10827,53.48,529300803,0.1068,1.364e-4
4779,59.6,354457978,0.1284,1.737e-4
995,60.33,346416979,0.125,1.785e-4
5952,63.32,11.13,0.1323,1.988e-4
7578,64.27,528526192,0.1302,2.055e-4
1806,72.89,20.56,0.1645,2.72e-4
7604,74.91,22.32,0.1672,2.889e-4
1399,77.61,12.6,0.1733,3.126e-4
8725,81.61,10.71,0.186,3.494e-4
3283,89.53,4.318,0.2195,4.29e-4
6646,89.97,72.3,0.2137,4.336e-4
12120,90.43,322238691,0.2084,4.386e-4
5928,94.22,12.4,0.2203,4.802e-4
1690,100.4,114714833,0.2451,5.525e-4
1825,103.2,8.199,0.2519,5.869e-4
7290,110.9,72008560,0.2863,6.885e-4
9746,112,18.06,0.2837,7.035e-4
11958,116.9,5550692,0.301,7.691e-4
495,117.3,32.9,0.2946,7.747e-4
2111,117.9,13.87,0.2889,7.816e-4
12007,129,3.445,0.3334,9.27e-4
3039,131.7,32620339,0.3375,9.639e-4
2483,133.8,37888073,0.3389,9.932e-4
7304,140.9,11.65,0.3639,0.001094
2545,141,12.05,0.3553,0.001095
9850,143.7,6.248,0.3594,0.001134
7257,150.2,932.2,0.3812,0.001232
6884,152.7,100.3,0.384,0.00127
1037,153.1,181.7,0.3773,0.001276
5259,153.6,22.24,0.3715,0.001284
551,154.1,92.07,0.3656,0.001291
12908,154.4,1525000000,0.3592,0.001296
13300,155.4,60.08,0.3562,0.001311
11136,156,41.96,0.3517,0.001321
1291,158.6,37.78,0.3556,0.001363
6320,162.7,1379000000,0.3657,0.001429
2666,166.5,19.84,0.3741,0.00149
8052,168.4,13.03,0.3751,0.001522
5329,173.9,16.1,0.3906,0.001614
9528,179.7,13.85,0.4073,0.001714
4748,180.1,13.4,0.4021,0.001722
3342,180.9,10.66,0.3983,0.001736
5036,183.4,14.13,0.4014,0.00178
11327,185.2,7.96,0.4017,0.001811
42,185.7,12.26,0.3971,0.00182
1513,191.3,10.53,0.4127,0.001923
10323,194.3,9.878,0.4176,0.001977
11403,194.7,8.782,0.4127,0.001985
3636,196.3,8.712,0.4125,0.002015
10217,197,10.33,0.4089,0.002028
2708,201.3,3.157,0.4189,0.002109
5834,219.4,6.855,0.4825,0.002465
511,227.3,16.76,0.5071,0.002629
5722,230.9,6.751,0.5142,0.002705
4386,233.3,5.907,0.5165,0.002756
4444,233.4,7.279,0.5096,0.002757
10343,233.9,1.69,0.5045,0.002768
4143,235.5,6.271,0.504,0.002803
2347,236.3,3.966,0.5002,0.002819
7308,236.4,13.44,0.494,0.002821
3621,236.8,7.309,0.4892,0.002831
4661,238,5.484,0.4874,0.002857
4076,238.2,4.77,0.482,0.002862
8031,238.3,9.42,0.4762,0.002863
8401,244.8,5.04,0.49370000000000003,0.003005
13146,245.4,8982000000,0.4897,0.003017
13064,245.9,1009000000,0.4857,0.00303
7207,246,7.144,0.4803,0.003032
5151,248,16.22,0.4816,0.003076
8720,249.1,2.632,0.4797,0.0031
11226,250.7,841849953,0.4796,0.003136
5083,251,6.601,0.4752,0.003143
9204,251.2,5.672,0.4705,0.003147
13235,251.4,6.617,0.4661,0.003153
13160,251.7,23.73,0.4619,0.003159
13169,252.8,23.73,0.4604,0.003183
12891,253.7,975494564,0.4586,0.003205
13185,255.3,23.73,0.4586,0.00324
4137,255.3,7.122,0.4539,0.003241
6273,255.9,6.484,0.4512,0.003255
12557,257.6,6.531,0.4517,0.003293
10256,258.3,5.421,0.4495,0.00331
8478,258.7,6.585,0.4461,0.003319
3290,259.4,10.74,0.4436,0.003334
3897,261.5,5.952,0.4457,0.003383
3720,261.9,6.907,0.4427,0.003394
4201,262.5,6.744,0.4401,0.003407
2013,262.6,6.143,0.4363,0.00341
4230,263.4,6.273,0.4344,0.003428
8306,265,4.477,0.4351,0.003466
7479,266.2,737513056,0.4344,0.003493
1405,267.2,5.983,0.4332,0.003516
8737,274,11.81,0.4492,0.00368
7364,274.4,929540149,0.4462,0.003689
5314,277.2,5.449,0.4501,0.003755
2332,277.8,7.291,0.448,0.003771
9409,277.9,737513056,0.4442,0.003772
7875,279.5,4.472,0.4451,0.003813
9231,280.3,5.121,0.4434,0.003832
10191,284.2,13.14,0.4506,0.003928
7670,286,4.684,0.4516,0.003971
7697,286.5,5.296,0.4493,0.003984
9630,288.5,7.344,0.4511,0.004034
7394,291.8,9.752,0.4565,0.004116
10951,293.3,10.73,0.4568,0.004154
11877,293.8,4.089,0.4544,0.0041660000000000004
5061,295.4,6.628,0.4551,0.004207
6648,295.9,4.007,0.453,0.004221
7980,296.9,6.131,0.452,0.004246
5078,298.6,7.375,0.453,0.004289
