gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
511,12.96,5.444e-11,0.07076,5.318e-6
7917,15.17,7.579e-11,0.05116,7.689e-6
1112,16.31,7.021e-11,0.04041,9.111e-6
12845,17.94,7.786e-11,0.03785,1.138e-5
7881,18.81,8.316e-11,0.03379,1.27e-5
13300,21.77,0.006502,0.03944,1.778e-5
6711,22.98,1.049e-10,0.03827,2.013e-5
8177,23.32,8.453e-11,0.03465,2.083e-5
13036,27.17,1.578e-10,0.04367,2.954e-5
2470,27.93,1.133e-10,0.04187,3.146e-5
8284,28.98,1.696e-10,0.04141,3.423e-5
8300,33.47,1.028e-10,0.05264,4.747e-5
12778,38.52,1.617e-10,0.0668,6.526e-5
12557,38.57,0.02498,0.06222,6.546e-5
4137,39.47,1.666e-10,0.06116,6.894e-5
8268,41.35,8.953e-11,0.06368,7.657e-5
11061,45.83,1.839e-10,0.07551,9.647e-5
42,49.3,0.002456,0.08401,1.136e-4
821,64.23,2.899e-10,0.1437,2.052e-4
9881,71.16,0.04009,0.1716,2.578e-4
13146,72.1,2.164e-11,0.1682,2.655e-4
10509,78.22,2.895e-10,0.1924,3.181e-4
669,86.3,4.862e-10,0.2288,3.955e-4
9562,92.61,4.207e-10,0.2563,4.622e-4
9172,98.99,3.992e-10,0.2851,5.356e-4
7462,99.35,4.268e-10,0.2763,5.398e-4
13234,102.5,2.164e-11,0.2848,5.778e-4
9528,107,7.285e-10,0.3021,6.356e-4
6647,110.3,0.06326,0.312,6.799e-4
5386,114.8,7.628e-10,0.3292,7.421e-4
11065,119.3,0.1883,0.3434,7.999e-4
9314,121.4,0.03071,0.3439,8.27e-4
12826,122.3,8.443e-10,0.3381,8.384e-4
7864,122.6,0.06489,0.3297,8.425e-4
3447,126.1,0.02445,0.3376,8.88e-4
4923,127.7,0.1451,0.3361,9.093e-4
8282,135.3,3.295e-10,0.3645,0.001014
3235,136,0.03379,0.3587,0.001024
1030,137.1,9.187e-10,0.3546,0.001039
11362,138.3,0.05556,0.3515,0.001057
12505,142.4,4.835e-10,0.3621,0.001116
13195,143.1,4.879e-11,0.3565,0.001125
4386,145.8,1.283e-9,0.3606,0.001165
2423,149.4,1.037e-9,0.3689,0.00122
8502,152.4,0.01648,0.3743,0.001266
12303,154.3,7.071e-11,0.3745,0.001294
11170,156.9,0.2391,0.3781,0.001336
4741,157,9.762e-10,0.3706,0.001337
8849,157.6,1.326e-9,0.3658,0.001347
11956,163.8,7.903e-10,0.3848,0.001446
3720,166.2,1.51e-9,0.3873,0.001485
3489,169.9,0.02759,0.3959,0.001547
10555,179.8,2.152e-9,0.4308,0.001716
4279,182.6,1.738e-9,0.4349,0.001765
7612,182.7,1.366e-9,0.4278,0.001768
3250,184.1,7.415e-10,0.4257,0.001791
10434,185.7,5.25e-10,0.4252,0.001821
2981,188.9,0.09769,0.4311,0.001879
9275,198.8,0.08021,0.4651,0.002062
12374,198.9,0.01144,0.4576,0.002063
10324,201.4,0.09206,0.4606,0.002112
6960,206.1,0.2847,0.4725,0.002201
3621,210,1.162e-9,0.4811,0.002278
1557,210.1,2.218e-9,0.474,0.00228
7873,213.3,9.497e-10,0.4797,0.002343
11403,214.9,0.1474,0.4787,0.002374
5453,215.9,2.622e-9,0.4758,0.002395
10323,218,0.26,0.477,0.002437
3401,218.5,1.977e-9,0.472,0.002447
3712,219.6,1.869e-9,0.4694,0.002469
9957,228.5,0.03609,0.4974,0.002654
11974,228.7,0.1141,0.4914,0.002659
9148,229.3,0.01994,0.4867,0.00267
11703,229.6,0.2932,0.4812,0.002676
3593,230.2,0.136,0.4771,0.002689
13273,235.5,1.67e-10,0.4906,0.002802
8823,235.8,0.2022,0.4853,0.002808
11493,239.2,0.115,0.4916,0.002882
1517,240.2,0.3594,0.4891,0.002903
5351,240.4,0.2655,0.4838,0.002908
10960,241.9,2.327e-9,0.4831,0.002941
6004,244.4,2.578e-10,0.4861,0.002995
