gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
10551,303,0.01469,0.002751,2.067e-7
6676,387,0.01959,0.007423,1.116e-6
2447,390,0.04205,0.005214,1.176e-6
7759,440.9,0.01858,0.008899,2.675e-6
2634,504.6,0.02304,0.01726,6.486e-6
2807,510.5,0.03841,0.01552,6.997e-6
9462,542.5,0.963,0.0197,1.036e-5
8725,551.1,0.05204,0.01906,1.146e-5
9528,574.6,0.1517,0.02214,1.497e-5
7207,578.7,0.1363,0.02083,1.566e-5
3624,663.2,0.4361,0.04458,3.685e-5
10164,688.7,0.05319,0.05161,4.654e-5
9319,700.1,0.07331,0.05271,5.15e-5
4503,734.2,3.891e-11,0.06549,6.89e-5
1030,747,0.02108,0.06792,7.656e-5
6107,754.8,1.131,0.06779,8.15e-5
13168,757.3,0.352,0.0651,8.316e-5
4960,770.3,0.1816,0.06815,9.218e-5
7240,782.5,0.1402,0.07096,1.013e-4
7257,788,0.004159,0.07031,1.057e-4
9443,800.8,0.02346,0.07377,1.164e-4
13028,812.2,0.5885,0.07661,1.267e-4
1365,823.3,0.08394,0.07948,1.374e-4
10693,844.8,0.4257,0.08878,1.601e-4
9638,858.4,4.937e-11,0.09371,1.761e-4
15,872.1,0.2361,0.0989,1.932e-4
4778,890.2,0.08366,0.1075,2.181e-4
10476,894.8,0.323,0.1068,2.248e-4
6101,898.4,0.09407,0.1056,2.301e-4
4137,918.3,0.2943,0.116,2.615e-4
7743,931.3,0.5332,0.1218,2.837e-4
2936,936,0.2683,0.1215,2.921e-4
8378,938.4,0.08182,0.1196,2.966e-4
1399,955.9,0.04838,0.1291,3.3e-4
807,957,0.3281,0.1263,3.322e-4
10107,958,0.1971,0.1236,3.343e-4
5883,958.2,0.06936,0.1203,3.346e-4
3040,958.7,0.9709,0.1175,3.356e-4
9798,963.7,0.1312,0.118,3.458e-4
1270,977.2,0.3301,0.1247,3.748e-4
6653,982.9,0.2336,0.1258,3.875e-4
3705,1004,0.4399,0.1384,4.369e-4
13171,1013,0.6641,0.1429,4.617e-4
5354,1036,0.1895,0.1583,5.233e-4
2666,1037,0.09831,0.1554,5.254e-4
1616,1040,0.1443,0.155,5.358e-4
1807,1055,0.5588,0.1641,5.795e-4
1745,1068,0.2233,0.1723,6.215e-4
8823,1070,0.4208,0.1705,6.277e-4
3049,1079,0.2166,0.1754,6.59e-4
8478,1084,0.1742,0.1761,6.748e-4
9156,1086,0.1414,0.175,6.839e-4
7035,1089,0.574,0.174,6.93e-4
9231,1097,0.3828,0.1778,7.216e-4
7274,1102,0.2213,0.1789,7.395e-4
4759,1104,0.2443,0.1777,7.479e-4
11516,1113,0.5416,0.1833,7.85e-4
11830,1131,0.2477,0.197,8.586e-4
3593,1136,0.30620000000000003,0.1976,8.761e-4
10509,1145,0.4469,0.203,9.152e-4
10810,1148,0.2999,0.2032,9.314e-4
1673,1153,0.06175,0.2048,9.544e-4
952,1157,0.2974,0.2049,9.699e-4
12217,1161,0.08053,0.2064,9.925e-4
6903,1176,0.5866,0.2179,0.001065
11982,1181,0.3825,0.219,0.001086
1774,1187,0.2867,0.2225,0.00112
7669,1199,0.311,0.2313,0.001182
1721,1199,0.2511,0.2286,0.001185
12405,1202,0.6721,0.2279,0.001199
5533,1206,0.7388,0.2293,0.001224
869,1207,0.1659,0.2267,0.001227
4848,1208,0.3084,0.2244,0.001231
6818,1214,0.1546,0.228,0.001268
3821,1219,0.9157,0.2302,0.0012979999999999999
12207,1220,0.3179,0.2283,0.001304
7082,1222,0.2773,0.2271,0.001314
12397,1238,0.3615,0.2401,0.001407
5762,1266,0.1939,0.268,0.001591
7215,1271,0.3037,0.2701,0.001624
9474,1275,0.1899,0.2717,0.001654
2114,1281,0.3199,0.2746,0.001692
6450,1281,8.329e-11,0.2716,0.001694
2994,1283,0.3417,0.271,0.001711
12282,1289,0.08087,0.2743,0.001752
8284,1293,2.83,0.2755,0.00178
12607,1293,0.5305,0.2725,0.001782
3800,1293,0.3136,0.27,0.001786
3155,1294,0.4099,0.2678,0.001791
5442,1296,0.2384,0.2672,0.001807
9832,1297,0.3033,0.2654,0.001815
8563,1301,0.4349,0.2663,0.001841
6384,1301,0.462,0.264,0.001845
10064,1308,0.351,0.268,0.001893
4467,1310,0.2588,0.2683,0.001916
11401,1313,1.539,0.2685,0.001937
2013,1316,0.1495,0.2684,0.001956
406,1316,0.1606,0.2665,0.001963
7405,1321,0.2449,0.2683,0.001996
12125,1325,0.3238,0.2703,0.002032
3257,1327,1.084,0.27,0.002049
10110,1328,0.5406,0.2687,0.00206
8516,1336,0.3179,0.274,0.002121
10683,1340,0.1782,0.2763,0.00216
7555,1342,0.7741,0.2758,0.002176
1396,1343,0.5925,0.2737,0.00218
10261,1344,0.148,0.2728,0.002194
1406,1345,0.2617,0.271,0.0022
2741,1352,0.064,0.2761,0.002261
4258,1359,0.2568,0.2812,0.002324
6632,1360,0.9375,0.2801,0.002336
4382,1365,0.4227,0.2832,0.002384
4630,1366,1.139,0.2814,0.00239
1916,1367,0.2094,0.2803,0.002401
8031,1368,0.3805,0.2788,0.00241
4641,1376,0.6863,0.2852,0.002486
511,1377,0.3287,0.2836,0.002494
13107,1378,0.2788,0.2823,0.002503
2021,1380,0.5353,0.2823,0.002524
6449,1382,1.422,0.2814,0.002538
7848,1389,0.5963,0.287,0.002609
7249,1390,0.3446,0.2864,0.002626
1729,1392,0.1358,0.2854,0.002638
11917,1399,0.1952,0.2905,0.002707
4017,1401,0.4133,0.2906,0.00273
11545,1406,0.7036,0.2937,0.002781
2445,1412,0.1922,0.2986,0.00285
2532,1416,0.1325,0.3004,0.00289
5829,1426,0.6001,0.3094,0.002999
9695,1427,0.6251,0.3077,0.003006
6125,1434,0.3489,0.3139,0.00309
8737,1436,0.3403,0.314,0.003115
12550,1438,0.3002,0.313,0.003128
12443,1438,0.6038,0.3108,0.00313
1573,1442,1.623e-10,0.3132,0.003178
9460,1443,0.2443,0.3118,0.003186
3610,1445,0.5579,0.3119,0.003211
9191,1446,3.681e-11,0.3104,0.003219
725,1450,0.1982,0.3132,0.003272
7102,1456,0.2634,0.3178,0.003343
9607,1456,0.4593,0.3158,0.003346
13169,1459,0.2656,0.3164,0.003376
13185,1461,0.2656,0.3167,0.003403
2543,1465,0.3756,0.3195,0.003457
4988,1469,0.3043,0.3208,0.003496
164,1470,0.449,0.3201,0.003512
11346,1474,0.2916,0.323,0.003568
4535,1476,0.3072,0.3222,0.003583
13173,1485,0.3622,0.3303,0.003699
11650,1486,1.817,0.3293,0.003712
4077,1494,0.1758,0.3362,0.003815
11703,1496,0.8483,0.3367,0.003846
2414,1496,0.3888,0.3348,0.003849
13023,1497,13.58,0.3331,0.003855
10256,1497,0.3702,0.3316,0.003863
9687,1503,0.2637,0.3364,0.003944
2296,1510,0.2181,0.3422,0.004037
