gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
807,19.6,87300000000,0.1856,1.395e-5
4258,38.41,13.81,0.43120000000000003,6.481e-5
2120,39.09,10.6,0.2992,6.745e-5
3049,53.48,14.65,0.4537,1.364e-4
1270,55.24,16.75,0.3903,1.467e-4
2666,61.96,40.2,0.4202,1.895e-4
11404,81.13,8.321,0.6556,3.449e-4
11170,86.89,18.39,0.6678,4.015e-4
2543,88.15,7.508,0.6128,4.144e-4
184,92.47,33380000000,0.613,4.607e-4
9117,98.47,3.154,0.6403,5.293e-4
7240,98.67,35240000000,0.5896,5.317e-4
2013,100.1,31.35,0.5621,5.491e-4
9462,105.2,25730000000,0.5821,6.124e-4
3178,119.5,17.01,0.7122,8.028e-4
1745,120.3,14.23,0.6761,8.129e-4
13264,122.1,7.111,0.6543,8.359e-4
2427,123.5,17550000000,0.6313,8.539e-4
13028,126.2,24940000000,0.6233,8.899e-4
4960,128.8,5.578,0.6147,9.238e-4
2994,133.6,23070000000,0.6274,9.902e-4
7406,137.9,5.682,0.6356,0.001051
5449,138.6,5.386,0.6135,0.00106
10551,140.5,19870000000,0.6032,0.001088
6354,143,4.302,0.5981,0.001124
7482,146.5,13.78,0.602,0.001176
10357,148.7,6.65,0.5963,0.00121
6125,149,17810000000,0.5767,0.001213
5429,157.3,2.623,0.6154,0.001341
5442,158.4,17.63,0.603,0.001359
5156,162.8,9.42,0.6137,0.00143
10810,163.9,4.696,0.6021,0.001448
4749,165.3,7.711,0.5932,0.001471
11473,166,13600000000,0.5797,0.001481
3953,167.6,29.19,0.5737,0.001509
3247,169.9,27630000000,0.5718,0.001547
708,173.6,4.82,0.5785,0.001608
8378,174.3,87.72,0.5677,0.001621
11264,176.2,5.312,0.5643,0.001654
15,177.7,15720000000,0.5591,0.00168
5167,190.8,8.622,0.6209,0.001913
6107,191.7,12460000000,0.6111,0.001929
6126,198.3,7.945,0.6352,0.002053
2284,200.3,20.93,0.6324,0.002091
952,200.4,5.915,0.6188,0.002093
5582,201.4,11.26,0.6106,0.002111
8478,202.4,13950000000,0.6032,0.00213
9594,203.2,6.696,0.595,0.002146
10518,207.3,8.108,0.6044,0.002226
2157,209.7,12990000000,0.6047,0.002272
5138,209.7,9.522,0.5929,0.002272
2378,217.2,5.427,0.6195,0.002421
7696,221.3,6.918,0.6288,0.002505
13107,223.3,9.43,0.6275,0.002546
5544,225.7,3.319,0.6279,0.002595
11073,228.6,3.844,0.6313,0.002657
5666,230,13.6,0.6268,0.002685
3235,233.5,17.1,0.6332,0.00276
9177,234.6,10.21,0.6278,0.002784
4828,235.5,16.57,0.6217,0.002803
1079,237.1,8.384,0.6189,0.002837
5762,241.5,13480000000,0.6296,0.002933
3269,243.9,6.938,0.6306,0.002985
7510,244.1,8.977,0.6217,0.00299
7911,245.6,6.142,0.6188,0.003023
13245,247.8,19.78,0.6195,0.003073
260,248.4,11040000000,0.6128,0.003085
8285,248.5,16140000000,0.6042,0.003088
911,249.2,7.866,0.5984,0.003103
11516,250.3,12470000000,0.5945,0.003128
11505,251.1,10970000000,0.5897,0.003147
7202,253.6,4.335,0.5919,0.003203
6710,256.1,61.91,0.5939,0.003258
7941,259.9,10.92,0.6019,0.003347
6673,261.5,11780000000,0.6005,0.003384
5287,262.2,8063000000,0.5953,0.0034
11612,267.5,10140000000,0.6089,0.003524
5409,270.3,8991000000,0.6123,0.003589
429,274.4,11.21,0.6211,0.003688
7092,275.7,9117000000,0.6188,0.0037200000000000002
9066,277.4,4.018,0.6177,0.00376
12441,280.3,1.731,0.6219,0.003832
4137,280.5,17180000000,0.6149,0.003835
13061,281.1,3.488,0.6101,0.003852
9240,283.3,5.88,0.6113,0.003905
611,283.4,14.75,0.6045,0.003907
10116,284.5,4.03,0.6019,0.003935
3671,286.7,14.33,0.6033,0.00399
4382,294.6,18.71,0.6262,0.004188
6178,294.7,8651000000,0.6196,0.004191
5263,295,6.484,0.6137,0.004197
4729,295.9,24.51,0.6104,0.00422
9220,301.4,3.513,0.6242,0.004362
3938,301.8,14.14,0.619,0.004372
12971,303.6,11690000000,0.6188,0.004418
3333,304,4.551,0.6138,0.004428
1112,304.9,4.26,0.6108,0.004452
5013,307.4,5734000000,0.6135,0.004518
11836,312.4,16.18,0.6247,0.004648
3063,314.6,6696000000,0.6265,0.004708
5949,315.6,9.841,0.6237,0.004734
10113,317,8.116,0.6225,0.004771
4361,318.4,7612000000,0.6212,0.004808
3593,319,7672000000,0.6173,0.004824
2873,320.2,14.14,0.6157,0.004858
10663,321.2,4.343,0.6131,0.004884
9638,325.9,10090000000,0.6234,0.005012
3533,326.8,9.693,0.6204,0.005035
4848,327.8,4.638,0.6181,0.005063
4893,327.9,7.335,0.6131,0.005068
242,329,7.815,0.6111,0.005097
6653,331.2,5727000000,0.6126,0.005156
8737,331.2,7.451,0.6074,0.005158
9903,331.6,5.055,0.6035,0.00517
12841,333,4.14,0.6025,0.005207
2152,335,3.75,0.6037,0.005262
1108,337.5,13.09,0.6064,0.005332
11680,339.9,5.215,0.6088,0.005399
1960,341.3,5711000000,0.6083,0.00544
3290,344,19.18,0.6118,0.005517
12207,346.4,8.209,0.6141,0.005584
9867,353,6495000000,0.6298,0.005774
12607,353.2,3.219,0.6253,0.00578
10298,355,5834000000,0.6258,0.005832
3179,356.3,12,0.6251,0.005872
5722,361.1,10.5,0.6347,0.00601
3809,361.4,6.129,0.6308,0.00602
3958,362.8,6.81,0.6302,0.006062
7869,363.3,4.321,0.6267,0.006075
6526,363.7,11.06,0.6232,0.006088
12684,366.1,10.85,0.6256,0.006158
5651,367.5,9.344,0.625,0.0062
11386,369.3,3.474,0.6258,0.006255
3849,372.7,9.152,0.6311,0.006355
4052,376.9,62.24,0.639,0.006482
2447,379.8,8155000000,0.6429,0.006571
1832,380.9,5335000000,0.6415,0.006605
4230,381.7,11.12,0.6393,0.00663
12429,382.5,39.62,0.637,0.006654
7545,386.6,3.487,0.6445,0.006781
11713,387.6,5.673,0.6429,0.006812
5662,387.7,4148000000,0.6385,0.006814
181,389.3,7.343,0.6388,0.006864
991,390.2,4.237,0.637,0.006893
1794,391.4,7.848,0.6358,0.006928
9513,392.8,3.305,0.6356,0.006974
5351,396.1,7680000000,0.6407,0.007077
9474,397.8,23.64,0.6411,0.007131
2823,403.2,5.641,0.6522,0.007302
35,404.4,1.493,0.6512,0.00734
12557,404.9,9.134,0.6482,0.007356
9152,405.1,5573000000,0.6445,0.007362
