gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8371,14.9,2.139e-13,2.906e-14,2.184e-18
9137,58.31,0.003477,3.87e-9,5.816e-13
12884,142.6,0.01749,3.602e-6,8.12e-10
13087,155.2,0.02202,5.145e-6,1.546e-9
13268,156.6,0.02202,4.405e-6,1.655e-9
12913,254.7,0.0574,1.34e-4,6.04e-8
13001,264.1,0.02347,1.489e-4,7.833e-8
9837,269,0.07302,1.486e-4,8.934e-8
12875,271.9,0.1293,1.425e-4,9.64e-8
10190,300.9,0.04558,2.62e-4,1.969e-7
10111,328.8,1.597,4.417e-4,3.651e-7
12759,353.5,0.09251,6.678e-4,6.022e-7
12856,379.6,0.0294,0.001003,9.794e-7
11147,389.9,0.03057,0.001115,1.173e-6
12983,420.4,0.03548,0.001727,1.947e-6
12334,434.5,0.02098,0.002019,2.427e-6
109,441.6,0.2569,0.002116,2.703e-6
8794,444,1.425,0.002072,2.802e-6
12843,452.8,3.017e-12,0.002236,3.192e-6
9953,457.8,0.03111,0.002283,3.432e-6
4909,487.2,2.193e-10,0.003273,5.166e-6
12891,505.2,1.943e-11,0.003955,6.539e-6
12975,511.3,0.03538,0.004091,7.071e-6
13038,515.8,4.752e-12,0.004149,7.482e-6
12887,540.3,0.09425,0.005373,1.009e-5
13012,546.3,0.06536,0.005544,1.083e-5
12974,569.3,0.0975,0.006957,1.412e-5
13015,574.1,0.04203,0.007075,1.489e-5
12778,585.4,0.1167,0.007727,1.684e-5
11605,595.3,0.3729,0.008307,1.873e-5
12802,612.1,0.1236,0.009589,2.234e-5
4552,617.8,0.08995,0.009847,2.368e-5
12287,622.6,0.1222,0.01002,2.484e-5
2236,624.2,0.4585,0.009883,2.525e-5
4836,636.9,0.08351,0.01089,2.864e-5
12981,638.5,0.1187,0.01075,2.909e-5
3852,642,0.06292,0.01083,3.011e-5
4448,645,1.966,0.01085,3.099e-5
13029,675.4,0.06551,0.01408,4.127e-5
6320,677.6,0.168,0.014,4.209e-5
12861,682.2,0.1585,0.01425,4.389e-5
3771,684.7,0.05035,0.01423,4.491e-5
12997,689.9,0.1542,0.01456,4.704e-5
12946,733.1,0.1707,0.02065,6.828e-5
2796,757,0.321,0.02452,8.292e-5
949,758.6,0.06259,0.02431,8.402e-5
5390,760.6,0.07937,0.02417,8.535e-5
12921,769.1,1.564e-11,0.02531,9.128e-5
6124,776.4,0.1418,0.02625,9.666e-5
12763,801.7,0.2911,0.03118,1.172e-4
5037,811.2,7.264e-11,0.03282,1.258e-4
370,811.7,0.7383,0.0323,1.262e-4
1799,812.5,0.1596,0.03188,1.27e-4
4019,818.7,0.3295,0.03275,1.329e-4
2800,825.1,0.08291,0.03366,1.391e-4
12812,841.6,2.41e-11,0.03721,1.566e-4
6464,844.7,0.1016,0.03736,1.6e-4
12806,849.2,0.09248,0.03789,1.652e-4
10171,849.9,0.2597,0.03743,1.659e-4
7075,855.7,0.1651,0.0383,1.727e-4
7707,863.6,0.1123,0.03979,1.824e-4
10040,880.1,0.3138,0.04376,2.039e-4
10854,884.8,0.3952,0.04442,2.103e-4
13062,892.7,0.1934,0.04607,2.216e-4
11850,892.8,0.07167,0.04541,2.218e-4
6319,893.8,0.554,0.04501,2.233e-4
8711,905,0.6504,0.04768,2.401e-4
5122,910.9,0.149,0.0488,2.494e-4
1293,915.3,0.06425,0.04947,2.565e-4
8799,921.7,0.6341,0.0508,2.672e-4
9890,930.7,0.01458,0.05297,2.826e-4
335,931.6,0.1386,0.05253,2.842e-4
12857,933.2,0.1502,0.05233,2.871e-4
4563,933.8,0.1355,0.05182,2.882e-4
11659,944.3,0.9061,0.05456,3.075e-4
12860,948.6,0.2606,0.05528,3.157e-4
3714,953.8,0.04728,0.0563,3.258e-4
2271,958,0.08364,0.05703,3.343e-4
8043,967.2,0.2439,0.05948,3.531e-4
11770,970.7,0.01256,0.05999,3.607e-4
7374,977.5,1.217,0.06168,3.754e-4
8236,979.1,0.1738,0.0615,3.79e-4
6528,979.6,0.3416,0.06092,3.8e-4
10575,983.2,0.07385,0.06151,3.883e-4
7515,983.8,0.939,0.06098,3.895e-4
10857,987.9,0.159,0.06173,3.99e-4
13099,990.5,0.2747,0.06193,4.049e-4
13108,999.4,0.1699,0.06447,4.263e-4
2799,1005,0.0386,0.06577,4.399e-4
3440,1005,0.2955,0.06517,4.408e-4
3960,1009,1.16,0.06587,4.504e-4
11701,1013,0.3262,0.0667,4.611e-4
1105,1020,0.2898,0.06838,4.779e-4
12338,1021,0.2582,0.06802,4.805e-4
3221,1024,0.1227,0.06878,4.91e-4
2276,1030,0.1477,0.07011,5.058e-4
12907,1031,0.2005,0.06987,5.093e-4
6546,1038,0.1117,0.07183,5.29e-4
4648,1044,0.1411,0.07339,5.46e-4
12849,1044,0.2493,0.07273,5.466e-4
7451,1053,0.9234,0.0754,5.723e-4
1375,1059,0.4759,0.07723,5.92e-4
1376,1061,0.01092,0.07755,6.003e-4
13068,1065,0.09619,0.07843,6.13e-4
12828,1071,0.05069,0.07998,6.311e-4
8003,1071,1.643,0.07945,6.329e-4
987,1073,0.438,0.07949,6.392e-4
9356,1075,0.2878,0.07935,6.44e-4
1481,1077,0.3093,0.07973,6.531e-4
8752,1088,0.3054,0.08366,6.916e-4
4624,1099,0.1641,0.0875,7.299e-4
615,1099,0.1171,0.08687,7.311e-4
5753,1117,0.1162,0.09421,8e-4
6448,1119,0.1945,0.09415,8.065e-4
12847,1120,0.1435,0.094,8.124e-4
11578,1123,0.4416,0.09453,8.24e-4
12882,1127,0.1763,0.09547,8.394e-4
11203,1128,0.2222,0.09515,8.437e-4
12871,1129,0.2463,0.09491,8.487e-4
6580,1133,0.9085,0.09615,8.67e-4
5440,1135,0.2208,0.09609,8.737e-4
5251,1139,0.1409,0.09738,8.928e-4
12933,1162,0.1621,0.10780000000000001,9.966e-4
3169,1163,0.274,0.1072,9.994e-4
8702,1166,0.1912,0.1081,0.001015
12873,1170,0.1433,0.109,0.001032
12781,1179,0.007295,0.113,0.001078
374,1183,0.06842,0.1141,0.001097
11783,1186,0.2976,0.1148,0.001113
4243,1186,0.3314,0.114,0.001113
13239,1187,0.1549,0.1135,0.001117
12777,1192,0.2073,0.1154,0.001145
8870,1193,0.4764,0.1153,0.001152
2049,1194,0.5316,0.115,0.001159
5595,1203,0.2277,0.119,0.001207
11646,1205,0.3381,0.1192,0.001218
10005,1212,0.3854,0.1218,0.001254
11718,1220,0.1299,0.1256,0.001303
7796,1221,0.01305,0.1253,0.001309
3233,1224,0.7137,0.1259,0.001325
3125,1227,0.3551,0.1266,0.001342
13048,1229,0.2493,0.1268,0.001353
6627,1235,0.1269,0.1292,0.001389
8849,1242,0.3519,0.1322,0.001431
1057,1246,0.1195,0.1338,0.001458
12735,1248,0.332,0.134,0.00147
12985,1258,0.1462,0.1394,0.00154
9810,1264,0.07423,0.142,0.0015790000000000001
6892,1265,1.298e-9,0.1415,0.001584
1895,1275,0.08696,0.1464,0.00165
12844,1281,1.543e-11,0.1491,0.001692
4093,1281,0.1262,0.1486,0.001697
3200,1290,0.1621,0.153,0.00176
11570,1291,0.3059,0.1525,0.001765
7208,1291,0.1993,0.152,0.001771
9703,1294,0.3349,0.1525,0.001788
743,1295,0.1207,0.1521,0.001795
8519,1311,0.1595,0.1618,0.001921
4071,1314,0.424,0.1627,0.001945
8009,1315,1.69,0.1625,0.001954
8138,1319,0.1287,0.1642,0.001987
12915,1321,0.1934,0.1641,0.001998
9247,1321,0.2282,0.1635,0.002003
6229,1326,1.546,0.1658,0.002043
12523,1330,0.1077,0.1675,0.002076
1506,1331,2.229e-10,0.167,0.0020830000000000002
6859,1338,0.3351,0.1705,0.002139
6157,1347,0.9789,0.1761,0.002223
1250,1356,1.06,0.1807,0.002295
12938,1358,0.1917,0.1813,0.002316
12851,1358,0.2463,0.1806,0.002321
4114,1367,0.6738,0.1856,0.002398
1014,1370,0.409,0.1865,0.002424
13065,1370,0.1149,0.1854,0.002425
8479,1370,0.4376,0.1848,0.00243
10528,1372,0.9327,0.1847,0.002443
609,1373,1.632,0.1848,0.002458
2939,1375,0.4547,0.1849,0.002473
8476,1384,0.4186,0.1904,0.002561
13198,1387,0.6087,0.1913,0.002587
9911,1391,4.081,0.1932,0.002628
1607,1391,0.214,0.1922,0.002628
13009,1393,0.2535,0.1925,0.002647
5727,1393,0.8221,0.1915,0.002648
4248,1393,0.2735,0.1905,0.002648
9866,1398,0.1206,0.193,0.002698
11317,1399,0.1949,0.1928,0.002709
1223,1404,0.009975,0.1959,0.002767
11604,1405,0.142,0.1952,0.002773
1932,1411,0.3325,0.1983,0.002832
12842,1420,0.2235,0.2043,0.002933
8607,1422,0.4815,0.205,0.002958
10798,1428,0.3697,0.2083,0.003021
253,1430,0.4469,0.2083,0.003037
2985,1430,0.238,0.2076,0.003042
13059,1433,0.3313,0.2089,0.003078
4232,1434,0.09822,0.2085,0.003087
6494,1435,0.4362,0.2082,0.003098
9451,1437,0.3145,0.2089,0.003124
4479,1440,1.116,0.2097,0.003152
175,1440,0.4791,0.2087,0.003153
3762,1440,0.3957,0.2077,0.003154
9382,1450,0.02914,0.2141,0.003267
10916,1451,0.03875,0.2141,0.003283
1085,1455,0.4115,0.2163,0.003332
1216,1456,0.3201,0.2158,0.00334
1054,1459,0.4317,0.2171,0.003378
4585,1460,0.3709,0.2167,0.003387
13231,1461,0.213,0.2163,0.003397
1285,1468,0.3316,0.2208,0.003484
6556,1476,0.4128,0.2261,0.003585
2375,1478,0.266,0.2267,0.003612
12760,1484,0.4872,0.2308,0.003695
4578,1489,0.3028,0.2335,0.003756
7224,1490,0.4149,0.2334,0.003772
13008,1490,0.2242,0.2324,0.003773
1784,1493,0.1126,0.2336,0.00381
13033,1494,0.3053,0.2331,0.003818
13070,1495,3.168e-11,0.2328,0.003831
8979,1506,0.1863,0.2412,0.003987
3197,1507,0.2701,0.2405,0.003994
163,1510,0.3757,0.242,0.004037
3968,1514,0.207,0.2443,0.004094
496,1517,5.223e-10,0.2455,0.004132
4508,1522,0.7303,0.249,0.00421
2027,1528,0.2929,0.2526,0.004289
8338,1534,1.332,0.2566,0.004377
5840,1535,0.5557,0.2564,0.004394
6220,1536,0.1339,0.2564,0.004413
6667,1538,0.2323,0.257,0.004442
11734,1539,0.09609,0.2565,0.004454
2456,1540,0.1836,0.2564,0.004471
7544,1545,0.2624,0.2593,0.00454
12819,1549,0.5097,0.2614,0.004597
12848,1557,0.5939,0.2671,0.004717
12385,1561,0.826,0.2702,0.004791
668,1565,0.7149,0.272,0.004844
9499,1571,0.1217,0.2769,0.004953
12788,1572,0.3467,0.2761,0.00496
13002,1572,0.3117,0.2752,0.004963
9040,1572,0.2413,0.2742,0.004966
2535,1572,0.3255,0.2731,0.004967
6461,1573,0.7045,0.2723,0.004972
11398,1578,1.273,0.2757,0.005056
7854,1589,0.3637,0.2849,0.005246
11946,1596,0.1506,0.2896,0.005354
8374,1598,0.3188,0.2905,0.005391
3983,1600,0.2236,0.2908,0.00542
3109,1607,0.3357,0.2962,0.005543
3643,1608,0.4133,0.2963,0.005566
2850,1609,0.147,0.2964,0.00559
12837,1613,0.3035,0.2988,0.005658
12817,1614,0.2407,0.2987,0.005679
11835,1619,0.7688,0.3017,0.005759
11963,1620,0.7366,0.3019,0.005786
8827,1621,0.538,0.3012,0.005795
4611,1622,0.3156,0.3011,0.005815
10052,1625,0.5767,0.3024,0.005863
2767,1625,0.06064,0.3018,0.005873
3274,1630,1.389,0.3053,0.005965
5171,1632,0.1912,0.3055,0.005992
1762,1636,1.636,0.3086,0.006077
3594,1637,0.03035,0.308,0.006088
9994,1638,0.418,0.3075,0.006101
3031,1642,0.1498,0.3104,0.006182
9523,1642,0.3522,0.3093,0.006182
7005,1643,3.926,0.309,0.006199
11069,1644,0.2316,0.3092,0.006226
3627,1647,1.747,0.3103,0.006273
12826,1648,0.5097,0.3104,0.006297
3886,1649,0.09159,0.3099,0.00631
11517,1652,0.318,0.3116,0.006369
3838,1657,0.9892,0.3152,0.006467
6814,1659,0.051090000000000003,0.3167,0.006521
7364,1660,0.2952,0.3158,0.006526
2619,1662,0.4042,0.3174,0.006582
7139,1665,0.3011,0.3189,0.006637
2174,1666,0.5816,0.3187,0.006658
12963,1671,0.2597,0.322,0.006751
8072,1673,1.005,0.3228,0.006793
10029,1675,0.1068,0.3231,0.006824
2432,1680,0.7231,0.3269,0.006928
5746,1680,0.1985,0.3262,0.006937
11677,1682,0.09616,0.3269,0.006977
8789,1683,0.2629,0.327,0.007003
13249,1691,0.2785,0.3337,0.007171
10680,1699,0.2528,0.3397,0.007327
2201,1701,0.122,0.3405,0.00737
1974,1701,0.3168,0.3395,0.007373
13100,1704,0.1872,0.3419,0.00745
12980,1707,0.0506,0.3437,0.007515
6768,1707,0.6763,0.3426,0.007517
4103,1709,0.3428,0.343,0.007553
12893,1711,0.0506,0.3435,0.007589
13004,1712,0.5932,0.3435,0.007616
13036,1713,0.0692,0.3439,0.007649
9807,1714,0.228,0.3431,0.007658
12130,1714,0.3556,0.3426,0.007673
11008,1718,0.1675,0.3448,0.007747
1666,1721,0.1004,0.3468,0.007818
4246,1722,0.4156,0.3472,0.007853
9097,1723,1.901,0.346,0.007853
9121,1726,0.2835,0.3489,0.007944
1319,1731,0.4184,0.3522,0.008046
13133,1732,0.3717,0.3518,0.008063
6286,1735,0.07488,0.3538,0.008136
12935,1735,0.1642,0.3528,0.00814
3573,1735,0.7782,0.3521,0.00815
267,1742,0.9141,0.3571,0.008292
2448,1742,0.2757,0.3561,0.008295
1715,1742,0.435,0.3555,0.008309
5952,1745,0.7165,0.3571,0.008372
12770,1749,0.2588,0.3595,0.008457
12756,1749,0.2135,0.3593,0.008479
12869,1751,0.3689,0.3597,0.008515
13000,1752,7.593e-11,0.3593,0.008531
3107,1756,0.6301,0.3621,0.008627
9042,1759,0.4188,0.3643,0.008706
11531,1760,1.264,0.364,0.008725
12055,1760,0.3488,0.3633,0.008738
12383,1766,0.4475,0.3682,0.008883
6302,1769,0.05429,0.3697,0.008946
7607,1769,0.887,0.369,0.008957
1333,1772,0.1925,0.3707,0.009025
11629,1772,0.5872,0.3695,0.009025
12878,1772,0.1188,0.3691,0.009042
477,1773,0.595,0.3682,0.009049
7541,1776,0.5412,0.3703,0.009127
12453,1776,0.9848,0.3692,0.009128
11806,1777,0.3379,0.3696,0.009166
2766,1782,0.4247,0.3733,0.009285
13024,1783,0.5569,0.3735,0.009319
9746,1785,0.2199,0.374,0.009359
12581,1790,1.916,0.3784,0.009498
13020,1793,0.6387,0.3797,0.009558
4632,1794,0.2192,0.38,0.009595
8109,1795,1.804,0.3794,0.009609
5098,1796,0.2805,0.3798,0.009647
12896,1800,0.3223,0.3828,0.009753
5276,1803,3.701,0.3846,0.009826
6019,1806,0.02347,0.3862,0.009898
872,1808,0.1454,0.3872,0.009952
3871,1809,0.3962,0.3879,0.01
3973,1814,0.4764,0.3918,0.01013
12120,1814,0.9496,0.3907,0.01013
6966,1815,0.08221,0.3904,0.01015
9239,1818,0.5187,0.3928,0.01024
10358,1821,0.9448,0.3943,0.01031
12328,1821,0.2014,0.3935,0.01032
