gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
7257,1,6964000000000,7.515e-5,5.647e-9
2543,6.928,14870000000,0.007853,1.18e-6
1888,11.92,19810000000,0.01934,4.36e-6
4131,12.65,10210000000,0.0167,5.02e-6
9228,15.43,8013000000,0.0213,8.002e-6
340,15.87,8626000000,0.01897,8.554e-6
3892,16.28,8199000000,0.01724,9.071e-6
10272,17.44,7266000000,0.0177,1.064e-5
3220,17.66,5738000000,0.01622,1.097e-5
1745,19.21,5591000000,0.01773,1.332e-5
532,22.85,9572000000,0.02404,1.987e-5
2769,24.92,5857000000,0.02689,2.425e-5
1309,25.08,4301000000,0.02519,2.461e-5
6930,26.83,7045000000,0.02729,2.872e-5
551,28.09,15550000000,0.02828,3.188e-5
2161,29.8,5502000000,0.03033,3.647e-5
9280,32.06,8585000000,0.03371,4.307e-5
6677,32.91,6566000000,0.03378,4.569e-5
7831,34.58,4521000000,0.03581,5.113e-5
66,36.77,4967000000,0.03908,5.874e-5
1336,40.1,13220000000,0.04527,7.144e-5
3938,41.76,11230000000,0.04735,7.828e-5
9304,42.45,4891000000,0.04699,8.122e-5
5690,42.71,10580000000,0.04565,8.234e-5
5544,42.81,3999000000,0.04407,8.28e-5
4144,44.9,3990000000,0.04716,9.215e-5
13107,45.83,3200000000,0.04755,9.647e-5
7099,47.37,3212000000,0.04939,1.039e-4
3670,48.34,3396000000,0.04991,1.088e-4
3067,51.26,5545000000,0.05503,1.241e-4
9091,51.49,6168000000,0.05378,1.253e-4
7406,53.72,3477000000,0.05729,1.378e-4
10146,54.55,5725000000,0.05749,1.426e-4
3266,58.64,3604000000,0.06559,1.676e-4
10262,59.8,3911000000,0.06655,1.75e-4
9774,61.45,2259000000,0.06875,1.86e-4
11037,63.12,3390000000,0.07101,1.974e-4
6777,64.48,5052000000,0.07252,2.071e-4
421,64.88,4165000000,0.07162,2.099e-4
7510,65.92,2580000000,0.07235,2.175e-4
8461,67.48,3494000000,0.07437,2.291e-4
4422,67.97,3048000000,0.07377,2.328e-4
12845,68.09,2187000000,0.07233,2.337e-4
6378,68.7,3385000000,0.07211,2.384e-4
13148,73.67,2716000000,0.08236,2.785e-4
7223,73.89,5675000000,0.08109,2.803e-4
460,75.5,4261000000,0.08325,2.94e-4
3322,78.08,4647000000,0.08782,3.168e-4
3178,81.08,3363000000,0.09354,3.444e-4
13266,81.95,2259000000,0.09385,3.526e-4
10705,92.03,5266000000,0.119,4.559e-4
3809,92.26,2479000000,0.1173,4.584e-4
4098,95.34,2168000000,0.1238,4.929e-4
12541,98.75,2860000000,0.1313,5.327e-4
604,101.1,2564000000,0.1358,5.612e-4
13061,105.5,4927000000,0.1466,6.169e-4
3681,105.7,4665000000,0.1445,6.188e-4
5624,107.8,2646000000,0.1483,6.465e-4
7615,108.8,1784000000,0.1487,6.594e-4
2001,108.8,2882000000,0.1463,6.598e-4
4380,111.4,3050000000,0.1515,6.947e-4
541,111.7,2163000000,0.1502,6.996e-4
9845,112.1,3549000000,0.1487,7.041e-4
