gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
13146,160.7,466300000000,2.691e-5,2.022e-9
7257,182.4,11259,3.493e-5,5.25e-9
13234,186.2,466300000000,2.713e-5,6.116e-9
13300,232.3,87.06,1.035e-4,3.11e-8
551,243.9,354.7,1.177e-4,4.422e-8
11170,269.2,9.616,1.992e-4,8.981e-8
511,308.8,36.35,4.487e-4,2.36e-7
13273,423.4,12.61,0.003396,2.042e-6
2543,469,3.228,0.005951,4.025e-6
9280,500.2,7.156,0.008156,6.129e-6
6711,521.9,13.06,0.009765,8.072e-6
12111,537.4,4.881,0.01082,9.754e-6
12557,543.5,20.35,0.01074,1.049e-5
2666,561.8,9.824,0.01232,1.296e-5
4137,573.7,7.528,0.01314,1.482e-5
1745,590.6,5.985,0.01481,1.781e-5
6930,602,2.69,0.01574,2.011e-5
13242,609.7,3.267,0.01611,2.179e-5
541,619.4,7.553,0.01684,2.405e-5
1336,625.5,1.283,0.01703,2.559e-5
3892,631.6,6.523,0.01723,2.719e-5
7923,647.6,4.629,0.01923,3.179e-5
821,661.1,37.26,0.02092,3.615e-5
340,666.4,2.395,0.02105,3.797e-5
66,677.7,3.698,0.02244,4.215e-5
4848,679.3,13.66,0.02188,4.275e-5
11404,681.9,4.876,0.02158,4.379e-5
6105,682.8,3.245,0.02098,4.416e-5
8170,685.2,8.189,0.02071,4.513e-5
1112,688.3,4.195,0.02057,4.637e-5
3333,700.6,5.296,0.0222,5.173e-5
12526,709.5,4.79,0.02325,5.59e-5
3250,711.2,8.654,0.02288,5.673e-5
8268,711.9,5.267,0.02233,5.705e-5
3049,722.7,3.486,0.02379,6.257e-5
4144,734.3,2.751,0.02548,6.892e-5
6066,736,3.89,0.02515,6.993e-5
532,736.3,2.617,0.02454,7.007e-5
8502,739.7,4.629,0.02459,7.207e-5
3290,761.5,12.74,0.0286,8.598e-5
4230,767.9,6.768,0.02935,9.045e-5
5544,773.7,2.408,0.02999,9.464e-5
11956,784.6,58.3,0.03185,1.029e-4
2583,785,3.867,0.03125,1.033e-4
1859,788.5,3.313,0.03137,1.061e-4
1780,789.7,4.547,0.03098,1.071e-4
2120,800.5,3.486,0.0329,1.162e-4
604,813.5,3.729,0.03545,1.279e-4
3800,817.4,6.208,0.03575,1.316e-4
3897,819.2,42.43,0.03549,1.333e-4
13245,821.8,4.484,0.03545,1.359e-4
9304,822.2,2.282,0.03487,1.363e-4
5582,827.5,4.324,0.03555,1.416e-4
9926,844,14.56,0.03924,1.592e-4
8725,845.6,12.64,0.03897,1.611e-4
9091,849.8,2.201,0.03941,1.658e-4
1033,858.2,8.499,0.04102,1.757e-4
7672,858.9,5.384,0.04052,1.766e-4
15,860.4,4.912,0.04024,1.784e-4
3809,866.1,3.204,0.04113,1.855e-4
1043,867,3.422,0.04072,1.866e-4
11403,867.1,8.719,0.04008,1.867e-4
2284,867.2,3.536,0.03947,1.869e-4
5083,870.3,8.531,0.0397,1.909e-4
7406,873,2.441,0.03981,1.945e-4
1099,882.5,3.869,0.04177,2.072e-4
1037,883.3,46.21,0.04137,2.083e-4
952,885.4,3.412,0.04133,2.112e-4
9899,887.2,9.503,0.04122,2.137e-4
11877,893.4,7.146,0.04232,2.226e-4
11703,899,3.502,0.04328,2.309e-4
9580,899.4,6.299,0.04281,2.316e-4
6575,906.1,2.107,0.04409,2.419e-4
6428,912.3,10.53,0.04526,2.517e-4
13107,912.7,4.382,0.04477,2.523e-4
2470,916.3,2.64,0.04522,2.582e-4
13264,916.9,4.281,0.04477,2.591e-4
5537,918.9,81.53,0.04478,2.625e-4
13106,919.3,20.79,0.04431,2.631e-4
8461,921.1,1.623,0.04427,2.661e-4
1888,922,7.713,0.04397,2.677e-4
7917,922.2,4.517,0.04349,2.68e-4
10146,923.4,4.279,0.04329,2.7e-4
7938,924.8,3.632,0.04315,2.724e-4
2979,929.9,3.133,0.04405,2.814e-4
9177,931.3,4.555,0.04391,2.838e-4
11061,935.2,2.044,0.04448,2.908e-4
932,935.6,3.695,0.04406,2.914e-4
3621,936.4,12.86,0.0438,2.929e-4
7831,937.3,1.736,0.04355,2.945e-4
10323,944.2,9.332,0.04493,3.073e-4
13179,946.3,3.264,0.04504,3.114e-4
7696,946.4,4.085,0.04459,3.116e-4
542,949.7,5.377,0.04501,3.179e-4
9528,956.4,7.417,0.04637,3.31e-4
11065,970.3,2.872,0.04988,3.598e-4
6378,971,5.038,0.04957,3.614e-4
8177,972.1,2.385,0.04938,3.637e-4
2013,974,8.197,0.04942,3.677e-4
11477,980.7,20.36,0.05091,3.826e-4
8094,982.2,3.652,0.05086,3.86e-4
