gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8371,1,998400000000,7.515e-5,5.647e-9
12196,2,841800000000,2.97e-4,4.464e-8
5492,5,124600000000,0.002322,5.235e-7
1200,9.381,89520000000,0.008198,2.464e-6
4145,12.65,67100000000,0.01336,5.02e-6
8053,17.61,97620000000,0.024140000000000002,1.089e-5
2198,19.08,44100000000,0.02493,1.311e-5
13001,25.92,30580000000,0.04414,2.654e-5
2911,27.39,378.9,0.04448,3.009e-5
823,31.98,24090000000,0.057,4.283e-5
12974,38.83,21090000000,0.08039,6.645e-5
12101,42.21,17870000000,0.08894,8.021e-5
12844,42.45,18030000000,0.08314,8.122e-5
12913,45.32,20030000000,0.08944,9.41e-5
9137,45.4,373.3,0.0838,9.446e-5
13087,50.76,110.9,0.1009,1.214e-4
4041,63.8,11470000000,0.1583,2.023e-4
12782,63.99,7.651,0.1505,2.036e-4
13024,67.82,11070000000,0.1623,2.317e-4
12915,76.92,9083000000,0.2039,3.064e-4
10854,78.36,7.037,0.2024,3.194e-4
634,80.81,34.13,0.2068,3.419e-4
3790,81.44,1301,0.2013,3.479e-4
12885,83.71,8476000000,0.205,3.696e-4
6319,85.32,9.943,0.2053,3.856e-4
8030,90.07,8205000000,0.2225,4.347e-4
2568,90.53,27.8,0.2167,4.396e-4
11839,96.37,673.4,0.2399,5.048e-4
6258,100.4,7263000000,0.2535,5.525e-4
11605,102.3,6879000000,0.2552,5.754e-4
3518,103.2,6950000000,0.2517,5.864e-4
9837,103.4,18.78,0.2453,5.898e-4
12815,105.5,6758000000,0.2485,6.163e-4
2090,106,57.35,0.2436,6.224e-4
698,106.8,6582000000,0.2408,6.333e-4
12869,108.8,56.53,0.2439,6.597e-4
609,109.5,1.44,0.2405,6.686e-4
10706,112.8,6077000000,0.25,7.139e-4
7765,113,5990000000,0.2447,7.171e-4
5120,114.7,21.11,0.2466,7.411e-4
10111,118.2,48.66,0.2551,7.86e-4
12856,121.2,27.53,0.2611,8.241e-4
7093,123.2,6.593,0.2629,8.495e-4
13012,127.8,15.9,0.2756,9.111e-4
11304,131.9,5.459,0.286,9.672e-4
10012,137.3,69.31,0.3016,0.001042
4846,137.9,4876000000,0.2976,0.001051
7841,138.4,4726000000,0.2932,0.001058
11078,140.5,23.03,0.2953,0.001087
7444,143.7,413.5,0.302,0.001135
3771,145.3,59.45,0.3024,0.001159
4642,150.4,25.75,0.3161,0.001235
4288,151,4216000000,0.3122,0.001244
8476,151.9,4180000000,0.3099,0.001258
690,152.2,17.78,0.3055,0.001262
3440,153.4,33.77,0.3045,0.001282
977,156,4345000000,0.3083,0.001321
10936,156.8,4063000000,0.306,0.001334
1526,158.6,4095000000,0.3073,0.001363
3981,159.3,17.37,0.3045,0.001373
7298,160,85.5,0.302,0.001385
10981,160.3,4022000000,0.2983,0.00139
8375,166,51.7,0.3132,0.001483
13159,167.5,5.336,0.3132,0.001506
6407,168.4,77.08,0.3114,0.001521
12983,169.9,24.41,0.3119,0.001547
11828,170.6,4233000000,0.3096,0.001559
6270,172.9,3679000000,0.3125,0.001597
12901,172.9,26.42,0.3081,0.001597
5928,173,9.262,0.3039,0.001599
8751,173.5,3503000000,0.3013,0.001608
5037,174,3556000000,0.2985,0.001615
12404,177.8,11.93,0.3065,0.001682
885,181.4,66.14,0.3137,0.001745
590,182.4,3532000000,0.3126,0.001762
11115,189.8,3.638,0.3319,0.001895
7754,190.5,10.23,0.3296,0.001907
10372,192.2,290.8,0.3307,0.001939
7047,194.2,8.901,0.3329,0.001976
8794,197.1,2.283,0.3375,0.002029
8519,198.5,598.2,0.3379,0.002057
6408,199.1,1074,0.3355,0.002067
4249,202.6,109.6,0.342,0.002133
9499,203.3,35.87,0.3402,0.002147
12520,203.7,2777000000,0.3375,0.002156
599,209.9,95.51,0.3522,0.002276
9202,215.6,2715000000,0.3653,0.002388
11850,216.1,18.64,0.3628,0.002399
8806,217.6,8.852,0.3633,0.00243
129,218.5,2587000000,0.3619,0.002448
11147,219.6,2.708,0.3613,0.002471
7139,221.5,59.18,0.3627,0.002508
13148,221.5,3.55,0.359,0.002509
202,230.4,33.93,0.3815,0.002695
8236,232.7,6.48,0.3841,0.002742
10639,233.4,5.478,0.3822,0.002757
11951,243.6,2142000000,0.4087,0.002979
4375,247.6,9.973,0.4166,0.003068
3304,248.4,28.19,0.4147,0.003085
7788,249.7,2127000000,0.4145,0.003115
10393,250.1,2033000000,0.4114,0.003123
6032,259.4,1969000000,0.4352,0.003336
11150,261.4,1999000000,0.437,0.003382
3821,263.5,64.02,0.4389,0.00343
7707,264.3,2207000000,0.4372,0.003449
3862,265,54.82,0.4349,0.003464
11293,272.8,26.09,0.454,0.003651
11110,273.5,2019000000,0.4519,0.003668
184,274.6,8.191,0.4509,0.003694
9592,279.7,1773000000,0.4617,0.003817
234,281.7,20.57,0.4636,0.003867
11571,282.2,18.83,0.4607,0.003878
4836,285.2,18.33,0.4653,0.003951
12975,286.8,19.03,0.4659,0.003991
3028,288.3,1834000000,0.4663,0.00403
7377,289.1,26.46,0.4644,0.004048
10875,290,15.24,0.4631,0.004071
6707,290,1610000000,0.4591,0.004071
12578,294.2,17.66,0.4672,0.004178
13177,294.9,3.193,0.4652,0.004195
11775,297,93.71,0.4672,0.004249
5578,300.3,1468000000,0.4728,0.004334
10765,302.4,49.56,0.4746,0.004387
9581,306.4,1498000000,0.482,0.004491
4585,307.9,13.7,0.4822,0.004529
11149,308,7.011,0.4789,0.004534
6464,311.2,53.81,0.4837,0.004616
12979,311.2,4.274,0.4799,0.004616
2436,315.6,1392000000,0.4883,0.004733
7364,320.8,11.44,0.4989,0.004873
10714,322.8,13.94,0.5007,0.004929
12848,323.8,17.88,0.4995,0.004955
5256,328.4,35.58,0.5084,0.005081
1105,329.4,33.76,0.5074,0.005109
3228,330.5,122.4,0.5064,0.005138
9994,330.5,8.333,0.5029,0.00514
1014,330.6,2.479,0.4993,0.005141
13183,331,3.916,0.4968,0.005152
1337,332,145.7,0.4958,0.005179
10972,334.8,14.03,0.4998,0.005259
13200,336,1257000000,0.4993,0.005291
12788,336.9,7.179,0.4982,0.005316
11645,337,23.13,0.4949,0.005319
13015,339,9.035,0.4967,0.005375
9097,340,11.04,0.4959,0.005403
702,340.1,17.15,0.4926,0.005405
2091,343,72.91,0.4967,0.005487
13006,344.6,6.986,0.4976,0.005534
7799,348.5,38.39,0.504,0.005644
9942,348.9,36.03,0.5019,0.005657
12357,349.7,27.76,0.5004,0.005678
11470,351.1,51.77,0.5008,0.005721
4071,353.8,5.537,0.5042,0.005797
6836,357.5,20.16,0.5102,0.005905
12589,357.5,10.62,0.5071,0.005906
11766,359.6,996212672,0.509,0.005967
13033,360.9,7.998,0.5089,0.006004
9687,361.2,36.1,0.5064,0.006013
6048,366.4,1040000000,0.5163,0.006169
1285,366.9,22.8,0.5142,0.006182
12989,368.9,14.81,0.516,0.006243
12939,370.5,2.901,0.5166,0.006289
7607,373,915810182,0.5196,0.006365
3312,374.2,1736,0.5195,0.006402
13054,374.8,14.81,0.5178,0.00642
8425,378.2,41.72,0.5229,0.006523
5046,381.4,2.833,0.5274,0.006619
8206,381.8,19.91,0.5254,0.006633
12812,383.4,11.44,0.526,0.006681
10556,384.8,6.998,0.5264,0.006724
12218,388.4,899745489,0.532,0.006836
12103,388.8,843176425,0.5298,0.006848
1597,389.4,6.469,0.5281,0.006866
10834,390.1,10.41,0.5267,0.006887
5816,391.2,2.975,0.5264,0.006923
12946,397.9,6.745,0.5394,0.007134
11231,398.8,51.47,0.5383,0.007161
7120,402.4,805133091,0.5439,0.007276
13077,402.4,1116000000,0.5409,0.007276
11047,404.4,751377181,0.5427,0.007341
7854,405.2,10.41,0.5414,0.007364
13075,407.9,1116000000,0.5448,0.007451
13192,408.2,1116000000,0.5425,0.00746
13076,408.8,1116000000,0.5409,0.007479
8291,409.4,70.8,0.5393,0.007498
13104,409.9,1116000000,0.5377,0.007516
13259,410.5,1116000000,0.5363,0.007536
13114,411.1,1116000000,0.5346,0.007553
7703,411.5,13.02,0.5328,0.007567
13270,411.7,1116000000,0.5305,0.007574
13271,412.9,1116000000,0.5303,0.007612
2840,413.5,755790990,0.529,0.007632
13131,413.7,1116000000,0.5265,0.007637
13135,414.5,1116000000,0.5258,0.007665
13144,416,1116000000,0.5262,0.007711
13079,416.5,1116000000,0.5248,0.00773
13080,416.6,1116000000,0.5222,0.007731
13206,416.8,1116000000,0.5202,0.00774
13111,417.7,1116000000,0.5195,0.007769
13197,418.2,1116000000,0.5181,0.007786
13126,418.9,1116000000,0.5168,0.007806
3627,418.9,7.484,0.5143,0.007807
13130,420,1116000000,0.5142,0.007844
13274,420.3,1116000000,0.5122,0.007853
4133,421.4,705626436,0.5121,0.007889
13289,421.4,1116000000,0.5097,0.00789
13301,422.6,1116000000,0.5097,0.007928
11937,424.1,2.384,0.5104,0.007977
12008,424.5,666894669,0.5087,0.00799
13293,425.1,1116000000,0.5077,0.008012
13136,425.2,1116000000,0.5054,0.008014
