gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
13234,164.7,2.144e-12,3.238e-5,2.433e-9
7257,182.7,8.882e-5,3.531e-5,5.307e-9
13146,191.7,2.144e-12,3.371e-5,7.6e-9
13300,238.2,0.01149,1.242e-4,3.733e-8
551,251.5,0.002819,1.47e-4,5.522e-8
11170,279.9,0.104,2.622e-4,1.182e-7
511,316.2,0.02751,5.291e-4,2.783e-7
13273,379.5,0.07928,0.001626,9.778e-7
2543,477.6,0.3098,0.006701,4.532e-6
9280,484.5,0.1397,0.006623,4.977e-6
12111,513.3,0.2049,0.008768,7.248e-6
12557,546.9,0.04915,0.0121,1.091e-5
2666,564.9,0.1018,0.01375,1.343e-5
6711,571.2,0.07656,0.0137,1.442e-5
1745,600.1,0.1671,0.01748,1.97e-5
541,600.8,0.1324,0.01652,1.986e-5
6930,611.6,0.3717,0.01739,2.222e-5
4137,620.2,0.1328,0.01793,2.425e-5
7923,640,0.216,0.02067,2.952e-5
1336,640.2,0.7793,0.01968,2.958e-5
8170,654.5,0.1221,0.02152,3.397e-5
340,658.3,0.4175,0.02128,3.518e-5
3892,658.4,0.1533,0.02039,3.524e-5
11404,663.8,0.2051,0.02055,3.706e-5
13242,664.3,0.3061,0.01983,3.726e-5
821,669.9,0.02684,0.02007,3.921e-5
8268,672.1,0.1899,0.01973,4.004e-5
8502,682.4,0.216,0.02089,4.396e-5
66,685.6,0.2704,0.02077,4.526e-5
532,691.4,0.3821,0.02115,4.768e-5
1112,694,0.2384,0.02094,4.878e-5
6105,700,0.3082,0.02139,5.144e-5
4848,703.1,0.07323,0.02132,5.287e-5
4144,708.9,0.3635,0.02176,5.56e-5
12526,709.5,0.2088,0.02125,5.59e-5
6066,712,0.2571,0.0211,5.709e-5
3333,713.2,0.1888,0.02075,5.769e-5
3049,757,0.2869,0.02905,8.296e-5
5544,759.6,0.4153,0.0289,8.471e-5
4230,766.9,0.1478,0.02986,8.975e-5
3897,767.8,0.02357,0.02934,9.039e-5
2583,775.7,0.2586,0.03046,9.613e-5
1859,787.4,0.3019,0.03256,1.052e-4
1780,788.7,0.2199,0.03213,1.062e-4
2120,790.2,0.2868,0.03178,1.075e-4
11956,798.2,0.01715,0.03302,1.141e-4
5537,799.1,0.01227,0.03254,1.149e-4
604,819.1,0.2682,0.03695,1.333e-4
1099,819.3,0.2585,0.03623,1.334e-4
5582,821.4,0.2313,0.03605,1.355e-4
3290,824.5,0.07847,0.03615,1.386e-4
9926,827,0.06869,0.0361,1.411e-4
1043,836.4,0.2922,0.03789,1.509e-4
1888,841.2,0.1297,0.03846,1.561e-4
3800,842.1,0.1611,0.03801,1.571e-4
11403,842.4,0.1147,0.03742,1.575e-4
13245,845.7,0.223,0.03762,1.611e-4
8725,847.6,0.07908,0.03746,1.633e-4
9304,854.2,0.4382,0.03857,1.71e-4
6575,856.1,0.4747,0.03842,1.732e-4
9091,861.4,0.4544,0.03918,1.796e-4
1033,864.3,0.1177,0.03932,1.832e-4
9899,865.7,0.1052,0.03908,1.85e-4
3621,871,0.07777,0.03988,1.918e-4
7406,872.1,0.4097,0.03956,1.933e-4
3809,877.2,0.3121,0.04032,2e-4
7672,878.4,0.1857,0.04004,2.016e-4
5083,879.8,0.1172,0.03983,2.035e-4
10146,879.8,0.2337,0.03925,2.035e-4
9528,880,0.1348,0.03874,2.038e-4
9580,882,0.1588,0.0387,2.065e-4
15,884,0.2036,0.03868,2.093e-4
932,895.1,0.2706,0.04105,2.252e-4
3250,899.3,0.1156,0.04161,2.314e-4
13107,903.3,0.2282,0.04213,2.374e-4
11061,915.7,0.4892,0.04502,2.571e-4
8461,917.1,0.616,0.04485,2.595e-4
8877,921.1,0.3263,0.04541,2.661e-4
3593,921.6,0.1626,0.04497,2.67e-4
11703,924.6,0.2856,0.04526,2.721e-4
9177,925.6,0.2195,0.04498,2.738e-4
