gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
12802,1,2198000000000,7.515e-5,5.647e-9
8371,3.873,970300000000,0.001808,2.717e-7
13038,7.348,552700000000,0.006048,1.364e-6
12887,11.09,683400000000,0.01223,3.677e-6
12975,18,197100000000,0.0305,1.146e-5
1932,21.49,47.84,0.03829,1.727e-5
13004,23.92,186000000000,0.04195,2.207e-5
13062,27.84,150500000000,0.05195,3.123e-5
12985,28.37,120700000000,0.04822,3.261e-5
13133,30.33,7.876,0.05052,3.797e-5
9837,30.46,118300000000,0.04639,3.834e-5
3440,36.66,88600000000,0.0647,5.835e-5
12974,43.95,75670000000,0.08992,8.784e-5
8063,48.63,2.185,0.1048,1.102e-4
8374,54.92,21.59,0.1284,1.447e-4
9137,57.27,134,0.1322,1.59e-4
13012,58.58,49.37,0.1309,1.672e-4
9356,63,48380000000,0.1454,1.966e-4
8752,64.62,47520000000,0.1457,2.081e-4
11358,64.97,10.14,0.1401,2.106e-4
5440,66,45650000000,0.1382,2.181e-4
615,66.09,46480000000,0.1323,2.188e-4
12778,68.43,11.23,0.1368,2.364e-4
6124,77.39,37240000000,0.1722,3.106e-4
12845,79.46,13.57,0.1753,3.294e-4
12788,80.22,5.958,0.1722,3.364e-4
6448,80.78,4.315,0.1684,3.416e-4
2800,82.61,194.7,0.1706,3.59e-4
1015,85.88,45230000000,0.1795,3.912e-4
10138,91.02,28350000000,0.1973,4.449e-4
4563,98.03,3.202,0.225,5.241e-4
11147,98.4,24360000000,0.2198,5.285e-4
5037,100.3,24010000000,0.2223,5.514e-4
13087,102.2,17.26,0.2249,5.745e-4
1832,102.6,13.23,0.2202,5.791e-4
13268,106.3,17.26,0.2316,6.265e-4
3200,115,18.89,0.268,7.451e-4
12865,116.3,701500000000,0.2668,7.619e-4
12756,117,10.56,0.263,7.709e-4
7918,122.7,17660000000,0.2808,8.44e-4
2049,123.4,18320000000,0.2767,8.525e-4
11710,128,16940000000,0.2895,9.139e-4
13059,131,8.6,0.2952,9.54e-4
12338,132.4,124.5,0.2945,9.738e-4
8688,133.5,2.972,0.2923,9.886e-4
1612,135.5,15030000000,0.294,0.001016
12633,138.6,45.4,0.3002,0.00106
2619,141.6,7.447,0.30620000000000003,0.001105
2799,142.7,337.7,0.3041,0.00112
12759,143.2,13.07,0.2999,0.001127
4827,144.7,13350000000,0.3,0.00115
8236,152.8,11990000000,0.3256,0.001272
11069,152.9,10.6,0.3197,0.001273
1506,160.3,11200000000,0.3425,0.00139
3626,163.2,9.002,0.3476,0.001437
12846,164.6,520800000000,0.3468,0.00146
4386,167,10260000000,0.3497,0.001498
4442,167.8,0.4297,0.347,0.001512
12819,171.1,9.266,0.3533,0.001566
12826,172.1,9.266,0.3512,0.001583
12810,176.7,9.917,0.3628,0.001663
7910,178.4,9555000000,0.363,0.001691
742,179.1,3.526,0.36,0.001705
12871,179.3,43.41,0.3551,0.001708
12837,181.3,24.03,0.3566,0.001742
5522,182.6,17.54,0.3558,0.001765
12841,182.9,5.835,0.3516,0.00177
12365,183.9,8116000000,0.35,0.001789
1194,184.5,5.174,0.3469,0.001799
4909,184.5,8124000000,0.342,0.001799
13108,184.9,8542000000,0.3384,0.001805
2891,185.1,8.538,0.3346,0.00181
4071,187.7,8174000000,0.3385,0.001857
5122,188.9,8499000000,0.3377,0.001878
11605,189.4,10130000000,0.3347,0.001887
2264,191.2,10.71,0.3361,0.00192
7707,192.1,7978000000,0.3348,0.001937
8043,194.6,4.994,0.3382,0.001982
12901,199,9.872,0.3478,0.002065
12072,199.4,1.988,0.3447,0.002073
12857,200.1,323800000000,0.3428,0.002087
12851,201.5,43.41,0.343,0.002114
3171,202.9,7038000000,0.3431,0.00214
9941,203.9,6955000000,0.3421,0.002159
12816,204,9.917,0.3382,0.00216
6161,204.5,7065000000,0.3359,0.002171
12334,205.5,7065000000,0.335,0.00219
12929,209.3,9.917,0.3423,0.002264
12792,210,11.06,0.3406,0.002278
11766,214.8,9.667,0.3508,0.002373
12997,216.9,9.318,0.3533,0.002416
12938,218.7,361500000000,0.3545,0.002451
4741,218.7,9.746,0.3507,0.002451
4624,224.8,5436000000,0.3648,0.002577
12999,230.5,16.25,0.3777,0.002696
10217,230.5,5688000000,0.3738,0.002697
4473,231.2,3.212,0.3719,0.002711
12684,232,6.257,0.3704,0.002728
10637,232.3,4.231,0.3675,0.002734
12983,233.2,8.758,0.3664,0.002754
12900,245.4,11.06,0.3976,0.003018
13099,251,4.334,0.4099,0.003142
7854,254,17.09,0.4148,0.00321
11318,254.5,0.8117,0.4124,0.003223
912,255,1.589,0.41,0.003235
1057,256.8,23.08,0.4112,0.003275
5098,257.7,8.371,0.4099,0.003296
5409,264.7,2.625,0.426,0.003457
12944,265.1,11.06,0.4232,0.003466
8849,265.1,14.27,0.4196,0.003468
4417,266.3,10.22,0.4191,0.003496
6019,267.6,3694000000,0.4191,0.003527
822,268.6,0.923,0.418,0.00355
5260,269.3,3.569,0.4164,0.003567
12806,272.4,176700000000,0.4214,0.003642
8702,272.7,80.4,0.4184,0.003647
5420,280,22.58,0.4349,0.003824
8025,281.2,4.141,0.4345,0.003853
3970,281.3,4.234,0.4311,0.003855
13288,282.2,4.545,0.4301,0.003879
2236,284.2,2939000000,0.432,0.003928
5725,291.9,5.136,0.4494,0.00412
6188,294.5,13.59,0.4529,0.004186
6464,294.6,2750000000,0.4493,0.004187
4019,299.5,2808000000,0.459,0.004312
8913,301.8,1.011,0.4617,0.004372
5956,302,2723000000,0.4586,0.004377
4933,303.1,27.31,0.458,0.004405
7015,304.9,2540000000,0.4592,0.004452
5217,305.4,2477000000,0.457,0.004465
6546,305.9,31.08,0.4548,0.004477
1564,311.2,2326000000,0.4655,0.004617
12287,312.4,5.118,0.4652,0.00465
10343,313.5,3.995,0.4645,0.004677
5251,313.6,29.44,0.4613,0.00468
12304,313.8,15.61,0.4585,0.004686
11703,315.2,2.442,0.4588,0.004724
9750,318.3,4.187,0.4634,0.004806
3968,318.3,25.1,0.4602,0.004807
10881,320.4,8.782,0.4622,0.004862
6320,323.7,3.503,0.4673,0.004951
9523,323.8,4.636,0.4643,0.004954
