gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
8371,15.03,4675000000000,3.157e-14,2.372e-18
9137,58.38,287.6,3.913e-9,5.881e-13
13087,133,45.41,2.091e-6,4.714e-10
12884,146.6,57.18,3.328e-6,1e-9
13268,151.6,45.41,3.448e-6,1.295e-9
12875,254.3,7.736,1.323e-4,5.967e-8
13001,266,42.6,1.566e-4,8.238e-8
12913,267,17.42,1.409e-4,8.468e-8
10190,305.8,21.94,3.258e-4,2.204e-7
9837,311,13.7,3.304e-4,2.483e-7
12759,315.5,10.81,3.318e-4,2.743e-7
12983,331.7,28.18,4.308e-4,3.885e-7
10111,347.2,0.6263,5.451e-4,5.325e-7
11147,396.7,32.71,0.001254,1.319e-6
12887,408.3,10.61,0.00142,1.601e-6
8794,427.8,0.7017,0.00182,2.188e-6
12856,431.9,34.02,0.001826,2.333e-6
9953,439.8,32.15,0.001946,2.632e-6
12843,443.6,331400000000,0.001951,2.786e-6
4909,484.3,4561000000,0.003302,4.963e-6
109,496.2,3.893,0.003687,5.819e-6
12891,504.9,51470000000,0.00394,6.513e-6
12975,508.2,28.27,0.00393,6.793e-6
13038,509,210400000000,0.003809,6.87e-6
12334,517.5,47.67,0.004071,7.648e-6
13012,540.1,15.3,0.005155,1.007e-5
13015,543.1,23.79,0.005146,1.044e-5
11605,564.2,2.682,0.006333,1.333e-5
12287,572.8,8.186,0.006729,1.466e-5
12974,590,10.26,0.007853,1.771e-5
4552,590.5,11.12,0.00764,1.78e-5
12778,608.8,8.568,0.008977,2.159e-5
4836,621.7,11.98,0.00993,2.462e-5
12802,632.9,8.088,0.01078,2.754e-5
3852,633.9,15.89,0.01057,2.781e-5
370,635,1.354,0.01039,2.812e-5
2236,646,2.181,0.01126,3.13e-5
3771,657.7,19.86,0.01226,3.501e-5
12981,668.6,8.426,0.01323,3.877e-5
4448,671.6,0.5087,0.01325,3.984e-5
6320,675,5.952,0.01335,4.112e-5
12861,678.2,6.31,0.01341,4.232e-5
949,727.9,15.98,0.02022,6.534e-5
12997,732.5,6.484,0.02055,6.794e-5
2800,740.5,12.06,0.02146,7.256e-5
12946,741.3,5.859,0.02113,7.305e-5
5390,744.8,12.6,0.02129,7.518e-5
2796,751.6,3.115,0.02202,7.943e-5
4019,751.7,3.034,0.02159,7.949e-5
12921,772.4,63930000000,0.02493,9.367e-5
6124,775.5,7.05,0.02505,9.601e-5
12763,777.3,3.435,0.02492,9.736e-5
5037,810.9,13770000000,0.03151,1.255e-4
10854,818.3,2.531,0.03264,1.324e-4
6464,840.1,9.846,0.03748,1.549e-4
12812,845.1,41500000000,0.03813,1.605e-4
7075,847.7,6.056,0.03815,1.634e-4
10040,848.5,3.186,0.03771,1.644e-4
7707,852,8.901,0.03797,1.683e-4
10171,855.7,3.85,0.03832,1.728e-4
1105,858.2,3.451,0.03833,1.757e-4
12857,866.6,6.657,0.03994,1.861e-4
13062,878.7,5.172,0.042659999999999997,2.02e-4
6528,883.1,2.928,0.04325,2.08e-4
12907,883.7,4.987,0.04275,2.088e-4
11850,888.4,13.95,0.04343,2.154e-4
1799,900,6.267,0.04616,2.324e-4
11770,900.5,79.6,0.04565,2.333e-4
12806,901.4,10.81,0.04524,2.346e-4
4648,913.7,7.086,0.04827,2.539e-4
5122,913.7,6.713,0.0476,2.54e-4
9890,914.7,68.6,0.04722,2.555e-4
7515,924.9,1.065,0.04968,2.725e-4
335,926.4,7.213,0.04949,2.752e-4
11659,931.5,1.104,0.05041,2.841e-4
1293,932.9,15.56,0.0502,2.867e-4
2276,953.8,6.769,0.05633,3.26e-4
3960,955,0.8622,0.056,3.282e-4
11701,964.3,3.066,0.05846,3.471e-4
