gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value
6676,1.732,188700000000,3.908e-4,2.937e-8
10324,19.8,62210000000,0.09505,1.429e-5
1774,22.83,16.73,0.08794,1.983e-5
4607,36.51,26810000000,0.1923,5.781e-5
8554,37.04,38270000000,0.1589,5.972e-5
7759,41.71,35150000000,0.1732,7.808e-5
4778,45.32,38370000000,0.1789,9.41e-5
5883,50.01,21040000000,0.1952,1.174e-4
1597,57.03,5.467,0.2328,1.574e-4
2807,58.34,25060000000,0.2204,1.656e-4
7754,59.09,31730000000,0.2062,1.705e-4
12397,59.92,25120000000,0.195,1.759e-4
11719,62.53,27930000000,0.1979,1.934e-4
13165,63.25,26540000000,0.1885,1.983e-4
11982,65.35,13.04,0.1892,2.133e-4
10551,67.23,3566955,0.189,2.272e-4
2114,77.9,19540000000,0.2467,3.152e-4
7082,78.33,7.401,0.2359,3.19e-4
1606,79.6,20.89,0.2316,3.306e-4
5071,82.34,4.976,0.2371,3.564e-4
3624,82.37,19240000000,0.226,3.567e-4
1188,82.73,17870000000,0.2178,3.601e-4
11564,86.49,15510000000,0.2299,3.974e-4
4399,91.21,18440000000,0.2478,4.47e-4
13224,102.2,7.491,0.3056,5.742e-4
9798,109.6,24.11,0.3431,6.703e-4
10271,112.2,10.22,0.3482,7.065e-4
5083,112.9,9819000000,0.3399,7.151e-4
2735,114.2,5.78,0.337,7.343e-4
10308,114.8,26050000000,0.3294,7.426e-4
10693,118.6,22.74,0.3395,7.908e-4
5829,120.3,14.47,0.338,8.127e-4
511,121.3,61440000000,0.333,8.257e-4
8747,132.2,6938000000,0.3797,9.702e-4
1327,133.6,9710000000,0.3762,9.894e-4
11159,133.7,5.642,0.3666,9.917e-4
12564,134,6769000000,0.3581,9.956e-4
8177,136.2,5.15,0.3596,0.001027
7394,136.4,9325000000,0.3512,0.001029
6873,138.8,5.765,0.354,0.001064
9193,142.8,6530000000,0.3638,0.001121
8877,144.9,3.701,0.3653,0.001153
869,145.3,5725000000,0.3582,0.001157
8563,146.4,3.424,0.3553,0.001175
3040,147.9,7397000000,0.3539,0.001197
10476,148.2,10.3,0.3477,0.001202
3257,152.1,4.527,0.3568,0.00126
11390,153.3,5531000000,0.3546,0.001279
725,159.9,4944000000,0.3755,0.001383
5370,160.3,4863000000,0.3697,0.001389
7215,167.8,5.275,0.3944,0.001512
9876,170.2,4822000000,0.397,0.001551
12607,170.7,7.599,0.3917,0.00156
7490,173.2,27.89,0.3947,0.001602
952,175,3.637,0.3951,0.001633
2511,175.1,4285000000,0.3883,0.001634
9318,178.9,10.81,0.397,0.001701
8641,180.6,5.415,0.3968,0.00173
2105,181.9,7791000000,0.3953,0.001752
9862,183.2,22.25,0.3938,0.001776
5751,184.1,4605000000,0.391,0.001792
5118,188.3,3811000000,0.4009,0.001868
4641,189.4,5010000000,0.3989,0.001888
1030,191.2,5149000000,0.3994,0.001921
10090,191.5,3522000000,0.3943,0.001926
1365,194.6,5704000000,0.4,0.001984
568,194.9,3573000000,0.395,0.001989
5442,198.9,4.973,0.4037,0.002063
12993,199.1,98700000000,0.3987,0.002068
264,199.2,8.591,0.3933,0.002069
11545,200.1,4974000000,0.391,0.002086
11490,201.9,4083000000,0.392,0.002121
5478,204.1,17.95,0.3944,0.002163
3914,205,17.4,0.3921,0.002181
