sample1,sample2,name1,time1,rep1,name2,time2,rep2,pearson_cor,spearman_cor,comparison_type
mst7_2_1,mst7_0_1,mst7,2,1,mst7,0,1,0.8613317296078004,0.854457926631227,"Same strain, different time"
mst7_4_1,mst7_0_1,mst7,4,1,mst7,0,1,0.8735627650872968,0.8648549055712657,"Same strain, different time"
mst7_24_1,mst7_0_1,mst7,24,1,mst7,0,1,0.7893618530109695,0.7905228897596116,"Same strain, different time"
MST7WT_0_1,mst7_0_1,MST7WT,0,1,mst7,0,1,0.7664905025779034,0.7789447898810102,"Different strain, same time"
MST7WT_2_1,mst7_0_1,MST7WT,2,1,mst7,0,1,0.854957422776034,0.8469049071717587,"Different strains, different time"
MST7WT_4_1,mst7_0_1,MST7WT,4,1,mst7,0,1,0.7853027739274873,0.7874630695225792,"Different strains, different time"
MST7WT_24_1,mst7_0_1,MST7WT,24,1,mst7,0,1,0.631424934319168,0.6453670553442952,"Different strains, different time"
MST7PM_0_1,mst7_0_1,MST7PM,0,1,mst7,0,1,0.8078390325753444,0.8072268976126035,"Different strain, same time"
MST7PM_2_1,mst7_0_1,MST7PM,2,1,mst7,0,1,0.8563100342910589,0.8503974285451016,"Different strains, different time"
MST7PM_4_1,mst7_0_1,MST7PM,4,1,mst7,0,1,0.7592901157236729,0.762301510089698,"Different strains, different time"
MST7PM_24_1,mst7_0_1,MST7PM,24,1,mst7,0,1,0.8028753403428501,0.8086766725883254,"Different strains, different time"
MST7PD_0_1,mst7_0_1,MST7PD,0,1,mst7,0,1,0.7815238436476588,0.7823516920852356,"Different strain, same time"
MST7PD_2_1,mst7_0_1,MST7PD,2,1,mst7,0,1,0.8417438653627547,0.8344328049513418,"Different strains, different time"
MST7PD_4_1,mst7_0_1,MST7PD,4,1,mst7,0,1,0.8031728561342449,0.8002056790653046,"Different strains, different time"
MST7PD_24_1,mst7_0_1,MST7PD,24,1,mst7,0,1,0.8193528753205102,0.8287520429811214,"Different strains, different time"
Guy11_0_1,mst7_0_1,Guy11,0,1,mst7,0,1,0.7474581852535573,0.7528807871939245,"Different strain, same time"
Guy11_2_1,mst7_0_1,Guy11,2,1,mst7,0,1,0.8164310329392077,0.8145309619516956,"Different strains, different time"
Guy11_4_1,mst7_0_1,Guy11,4,1,mst7,0,1,0.6968743752873799,0.70908221044222,"Different strains, different time"
Guy11_24_1,mst7_0_1,Guy11,24,1,mst7,0,1,0.6572745543592613,0.6739953854111758,"Different strains, different time"
mst7_0_2,mst7_0_1,mst7,0,2,mst7,0,1,0.8168200759891517,0.8176634915864891,Biological replicates
mst7_2_2,mst7_0_1,mst7,2,2,mst7,0,1,0.869018171442006,0.8619001500928236,"Same strain, different time"
mst7_4_2,mst7_0_1,mst7,4,2,mst7,0,1,0.8577711655997688,0.8498631328256162,"Same strain, different time"
mst7_24_2,mst7_0_1,mst7,24,2,mst7,0,1,0.9148476049373082,0.9117285108408082,"Same strain, different time"
MST7WT_0_2,mst7_0_1,MST7WT,0,2,mst7,0,1,0.731264114898657,0.7394462422446186,"Different strain, same time"
