sample1,sample2,name1,time1,rep1,rep2,pearson_cor,spearman_cor
mst7_24_2,mst7_24_1,mst7,24,2,1,0.7433305903092113,0.7409965530874141
MST7WT_24_2,MST7WT_24_1,MST7WT,24,2,1,0.7632177683432821,0.7202360044783592
mst7_24_3,mst7_24_1,mst7,24,3,1,0.7767532151851891,0.7837693238042396
mst7_0_2,mst7_0_1,mst7,0,2,1,0.8168200759891517,0.8176634915864891
mst7_0_3,mst7_0_1,mst7,0,3,1,0.8317371971155912,0.8267354425800687
MST7WT_24_3,MST7WT_24_2,MST7WT,24,3,2,0.838473187359362,0.803369553419437
MST7PM_24_3,MST7PM_24_1,MST7PM,24,3,1,0.8638022161329231,0.8547794701346644
MST7WT_24_3,MST7WT_24_1,MST7WT,24,3,1,0.870073878059905,0.8588773807602549
mst7_0_3,mst7_0_2,mst7,0,3,2,0.8946523722013989,0.8897725242659391
MST7PM_24_3,MST7PM_24_2,MST7PM,24,3,2,0.8963457155905217,0.8933488284416746
Guy11M_2_2,Guy11M_2_1,Guy11M,2,2,1,0.9181348845330488,0.9286311663893172
mst7_24_3,mst7_24_2,mst7,24,3,2,0.9340601574922759,0.9338117651138387
MST7PM_0_2,MST7PM_0_1,MST7PM,0,2,1,0.9343013173408319,0.9289854869192111
MST7WT_0_2,MST7WT_0_1,MST7WT,0,2,1,0.9351533783498105,0.920028215716847
MST7PD_24_3,MST7PD_24_1,MST7PD,24,3,1,0.9356903257427884,0.9324055722625714
mst7_4_3,mst7_4_1,mst7,4,3,1,0.936604911670856,0.9350859616109632
mst7_4_2,mst7_4_1,mst7,4,2,1,0.9386538257582266,0.9355328644116772
MST7PD_4_3,MST7PD_4_1,MST7PD,4,3,1,0.9435327553276165,0.9449681905615097
MST7PD_0_2,MST7PD_0_1,MST7PD,0,2,1,0.9463319451662956,0.9414978757065383
MST7WT_0_3,MST7WT_0_1,MST7WT,0,3,1,0.9467327788057862,0.9391387141253
Guy11_2_3,Guy11_2_1,Guy11,2,3,1,0.9507094034194861,0.9515110408269022
Guy11_2_3,Guy11_2_2,Guy11,2,3,2,0.9582377630604926,0.9588913417733114
MST7PM_0_3,MST7PM_0_1,MST7PM,0,3,1,0.9586687759235849,0.9553825796211979
MST7PM_24_2,MST7PM_24_1,MST7PM,24,2,1,0.962000674048659,0.963233199842753
Guy11_0_3,Guy11_0_1,Guy11,0,3,1,0.9640265924379484,0.9616913070707548
MST7PD_0_3,MST7PD_0_2,MST7PD,0,3,2,0.9654177532657873,0.9561407331765929
Guy11_24_3,Guy11_24_1,Guy11,24,3,1,0.9659775687792013,0.966039654372555
Guy11_0_2,Guy11_0_1,Guy11,0,2,1,0.9663574301540458,0.9624315506597955
mst7_2_2,mst7_2_1,mst7,2,2,1,0.966410729492492,0.9645545684376634
MST7PD_4_2,MST7PD_4_1,MST7PD,4,2,1,0.967606436384511,0.9673299083939286
Guy11_4_3,Guy11_4_1,Guy11,4,3,1,0.9682625222375645,0.9660407668599497
mst7_2_3,mst7_2_1,mst7,2,3,1,0.9684656107877796,0.9671141939575626
Guy11_24_3,Guy11_24_2,Guy11,24,3,2,0.9688464456243933,0.9689850724069508
MST7PD_0_3,MST7PD_0_1,MST7PD,0,3,1,0.9696725997864256,0.9660926535299246
Guy11_0_3,Guy11_0_2,Guy11,0,3,2,0.9709052636083029,0.9657486129239481
MST7WT_0_3,MST7WT_0_2,MST7WT,0,3,2,0.9714273369916729,0.9652216932378919
MST7PM_0_3,MST7PM_0_2,MST7PM,0,3,2,0.9748375259839608,0.9670533402674227
MST7WT_4_2,MST7WT_4_1,MST7WT,4,2,1,0.9749934160928518,0.9742008789581352
MST7PD_2_2,MST7PD_2_1,MST7PD,2,2,1,0.9752507446494734,0.9751776174882938
MST7PD_2_3,MST7PD_2_2,MST7PD,2,3,2,0.9763527998381075,0.9764580594776023
Guy11_4_3,Guy11_4_2,Guy11,4,3,2,0.9768809078829719,0.975651259936694
MST7PM_2_2,MST7PM_2_1,MST7PM,2,2,1,0.9775635315744146,0.9769930455607981
MST7WT_4_3,MST7WT_4_2,MST7WT,4,3,2,0.9776952519054772,0.9769429107401597
MST7PM_4_3,MST7PM_4_1,MST7PM,4,3,1,0.9778462800261994,0.976573223924267
mst7_2_3,mst7_2_2,mst7,2,3,2,0.9783449844936616,0.9787061854782536
MST7WT_2_2,MST7WT_2_1,MST7WT,2,2,1,0.978426434583803,0.978315771604971
Guy11_4_2,Guy11_4_1,Guy11,4,2,1,0.9787722323544712,0.9770644139454415
MST7PM_2_3,MST7PM_2_1,MST7PM,2,3,1,0.9789505580260806,0.9786233560178823
MST7PM_4_2,MST7PM_4_1,MST7PM,4,2,1,0.9807733627414499,0.9802272402169797
mst7_4_3,mst7_4_2,mst7,4,3,2,0.9818898805521111,0.9826060599102949
MST7PD_4_3,MST7PD_4_2,MST7PD,4,3,2,0.9820453534978315,0.9817900600659988
MST7WT_2_3,MST7WT_2_2,MST7WT,2,3,2,0.982580488177067,0.982482509755036
Guy11_24_2,Guy11_24_1,Guy11,24,2,1,0.9831600593387363,0.9838191364046138
MST7PD_2_3,MST7PD_2_1,MST7PD,2,3,1,0.9831743725126393,0.9830670753000464
MST7WT_4_3,MST7WT_4_1,MST7WT,4,3,1,0.9839155804190197,0.9835721267728484
Guy11M_0_2,Guy11M_0_1,Guy11M,0,2,1,0.984986968266375,0.9787802636252935
MST7WT_2_3,MST7WT_2_1,MST7WT,2,3,1,0.985076641133195,0.9856670239524337
pmk1_0_2,pmk1_0_1,pmk1,0,2,1,0.9857146276015307,0.9900103108868277
MST7PM_2_3,MST7PM_2_2,MST7PM,2,3,2,0.9857428232382462,0.9859862596064822
