"","mst7_0_1","mst7_2_1","mst7_4_1","mst7_24_1","MST7WT_0_1","MST7WT_2_1","MST7WT_4_1","MST7WT_24_1","MST7PM_0_1","MST7PM_2_1","MST7PM_4_1","MST7PM_24_1","MST7PD_0_1","MST7PD_2_1","MST7PD_4_1","MST7PD_24_1","Guy11_0_1","Guy11_2_1","Guy11_4_1","Guy11_24_1","mst7_0_2","mst7_2_2","mst7_4_2","mst7_24_2","MST7WT_0_2","MST7WT_2_2","MST7WT_4_2","MST7WT_24_2","MST7PM_0_2","MST7PM_2_2","MST7PM_4_2","MST7PM_24_2","MST7PD_0_2","MST7PD_2_2","MST7PD_4_2","Guy11_0_2","Guy11_2_2","Guy11_4_2","Guy11_24_2","mst7_0_3","mst7_2_3","mst7_4_3","mst7_24_3","MST7WT_0_3","MST7WT_2_3","MST7WT_4_3","MST7WT_24_3","MST7PM_0_3","MST7PM_2_3","MST7PM_4_3","MST7PM_24_3","MST7PD_0_3","MST7PD_2_3","MST7PD_4_3","MST7PD_24_3","Guy11_0_3","Guy11_2_3","Guy11_4_3","Guy11_24_3","pmk1_0_1","pmk1_2_1","pmk1_4_1","pmk1_24_1","pmk1_0_2","pmk1_2_2","pmk1_4_2","pmk1_24_2","Guy11M_0_1","Guy11M_2_1","Guy11M_4_1","Guy11M_24_1","Guy11M_0_2","Guy11M_2_2","Guy11M_4_2","Guy11M_24_2"
"MGG_07573T0",41.0629,23.6282,47.3561,7.49295,3.45977,38.1442,11.8279,14.9951,6.88314,39.195,10.3128,24.3613,8.79486,32.4274,16.746,25.5099,10.4253,28.8133,6.21552,22.6306,16.7489,22.7449,20.608,0.493026,3.35309,26.18,8.25216,3.33911,2.71748,36.6066,15.3766,26.127,4.07853,41.2113,19.5239,3.93853,21.581,9.87637,23.9094,24.2753,11.5974,26.7337,5.37389,5.19614,32.7523,14.1764,16.6752,3.24365,21.395,10.643,20.172,2.32499,28.7822,14.0125,15.3681,6.9149,54.5324,11.6013,28.1263,7.99215,131.154,182.147,1.08395,8.28394,133.332,198.708,1.08395,7.65598,49.6512,89.4259,49.2387,9.33729,39.5315,86.0109,49.2387
"MGG_05134T0",79.1048,131.127,154.827,125.826,70.7119,127.737,78.6743,29.2262,191.846,122.785,65.6039,89.5785,139.213,130.395,92.7679,72.1067,238.56,158.726,57.1658,88.0878,178.333,153.078,114.356,49.1756,151.116,131.487,65.8597,7.78685,134.531,127.261,77.1611,92.9998,139.004,139.959,83.6078,196.574,143.682,62.0694,83.0173,121.431,175.914,143.387,87.0231,220.496,131.043,70.4772,78.9702,164.289,134.943,70.079,54.9269,180.458,129.435,72.6014,73.6649,177.098,155.276,74.7835,68.0546,94.9298,162.196,148.692,283.017,94.8216,160.989,157.569,283.017,181.026,93.1096,122.836,116.109,180.778,107.677,115.521,116.109
"MGG_03309T0",0.167131,0.478143,0.450018,0.282152,0,0.343822,0.211782,0.725274,0.320442,0.623275,0.495471,0.182393,0.0698943,0.377436,0.146069,1.11962,0,0.167546,0.409259,0.516705,0.0848776,0.158235,0.34485,0.411106,0.216525,0.606071,0.417562,0,0,0.21111,0.21171,0.324696,0.0533451,0.223634,0.273309,0.0617483,0.177008,0.487187,0.441643,0.546828,0.180436,0.358095,0.462707,0.0360315,0.413703,0.271286,0.303657,0.122927,0.518099,0.527354,2.24024,0.0908552,0.262235,0.188042,0.355743,0,0.205218,0.337132,0.341187,0.181409,0.163302,0.137751,0,0,0.262587,0.396457,0,0.0667185,2.72088,0.481674,1.07786,0.807118,0.567701,0.204075,1.07786
"MGG_07008T0",40.1953,25.038,68.2881,34.0878,14.0971,57.826,25.8689,25.1897,38.4312,31.4884,30.2943,74.1943,27.3268,59.6942,24.169,55.5117,52.08,49.4078,35.5908,62.7527,31.521,48.3694,23.9865,39.9047,15.1586,48.0333,28.4071,3.36653,12.236,55.3832,28.07,70.9219,11.7019,44.3248,21.8498,46.6325,51.7882,27.2639,62.618,84.2293,48.1758,29.3626,70.5956,39.4943,46.2818,25.3272,63.0929,14.8412,40.2679,23.9439,27.0107,15.9207,55.9563,33.3056,64.4068,28.63,78.5995,27.7453,40.6216,93.149,100.399,40.7049,31.4111,91.1748,101.26,42.2711,31.4111,41.2159,33.35,32.8733,96.0425,44.5606,30.1757,32.1663,96.0425
"MGG_16787T0",0,0,0.23577,0,0,0,0,0,0,0,0,0,0,0.253465,0,0,0,0,0,0.40777,0,0.263681,0,0,0,0,0,0,0,0,1.1027,0,0.564566,0,0,0,0,0,0.375122,0,0.234147,0,0,0,0,0,0.357235,0,0,0.232206,0,0,0,0,0,0,0,0.218765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MGG_04858T0",90.4032,106.474,82.8571,19.4983,9.56691,69.5766,69.0102,231.835,29.5623,79.3276,62.7071,145.075,17.6587,59.3539,70.0628,191.99,21.3081,60.1856,60.7245,282.686,47.2322,85.261,101.123,49.2441,16.5161,65.4824,69.1957,17.1558,13.1921,60.2146,63.9317,229.913,14.039,76.0071,57.8708,40.0407,64.2745,64.78,315.631,94.2852,88.7205,114.922,94.9466,19.3445,79.5259,57.9341,269.369,23.2035,66.6948,56.4738,128.219,21.5051,68.9968,58.8904,302.411,23.9898,61.2382,53.9074,434.042,86.1031,117.402,143.183,93.0745,86.0962,117.746,160.994,93.0745,12.2511,87.5789,101.698,389.213,14.0248,78.2066,96.2844,389.213
"MGG_12006T0",1.91463,0.126239,0.293765,0.484151,0,0.254422,0.138448,1.49025,0.522657,0.625139,0.431085,1.6773,0.750632,0.106717,0.41803,1.79699,0.562841,0.0733632,0.305568,3.06623,0.526852,0.138277,0.418388,2.84776,0.226664,0.216581,0.164386,0,0.347149,0.310125,0.172787,3.17849,0.173975,0.437557,0.286002,0.322619,0.307589,0.158869,3.32417,0.588261,0.618627,0.511187,3.90598,0.591506,0.270942,0.141346,2.86045,0.742557,0.122799,0.229206,1.66525,0.15832,0.231388,0.349726,3.16759,0.476263,0.574848,0.350592,2.72711,4.20055,0.609237,0.897511,0,3.96899,0.832549,0.810656,0,0.224326,0,0.46813,4.31123,0.13607,0.462237,0.277039,4.31123
"MGG_02444T0",27.4202,74.3156,69.5698,18.6383,8.97644,120.799,70.5943,11.548,24.0747,104.476,80.4779,17.545,22.2394,154.257,104.564,19.2804,19.3541,195.397,57.6619,15.7955,31.5316,100.594,78.0319,14.2763,19.8821,164.402,67.8281,1.61755,19.2052,159.179,88.248,20.0032,24.0415,126.88,96.9109,19.494,155.214,76.9234,15.2846,9.54365,96.8152,108.284,27.7571,21.3585,145.429,83.3471,16.2799,17.7053,152.996,66.0757,11.6266,14.8405,159.879,83.5701,13.5666,7.71788,96.4132,91.0878,15.3814,14.7243,33.1107,35.7643,25.1257,15.2633,33.0737,35.1999,25.1257,10.8426,40.8755,45.6102,15.7475,12.833,40.7518,45.1147,15.7475
"MGG_17251T0",0.599546,0.808183,2.54248,0,0,0,0,0,0,0,1.61266,0,0.757512,0.86915,0.782233,0,0,0,3.03647,0.654068,0,0,0.921975,3.55244,0,0.878438,1.20304,0,0.731644,0,0,0,1.90112,0,2.83846,0,0,2.20118,0.626601,0,0,0,0,0,0.844371,0,0.609477,0,3.16891,0,0,0,0,1.39893,1.74234,0,0,0,0,0,0.52721,0.693427,0,0,0.543225,0,0,0,0,0,2.34396,0,0,0,2.34396
"MGG_10811T0",0,0,0,0,0,0,0.0388561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446117,0,0,0,0,0,0,0.0380046,0.039704,0,0,0.0344877,0,0,0,0.0323778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
